ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,61.36,52.18,2756.24,8038.16,0,4,2,미분류,53.55,76.97,-12.73,25.44,🟠 분할익절 고려 (추세 점검),,57.4,구름대 위 / Stoch GC(K=21) / BB하단(0.15) / ADX강세(37.1),데이터없음,0,없음,N/A,N/A,,,🚨 IV 221.3% (극고변동성),PCR 0.63 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,363.31,-0.68,-30.0,4359.72,0,3,3,🔴 약세,356.29,377.35,-1.93,3.86,🟠 손절가 근접 (모니터링),,-21.7,구름대 위 / BB하단(0.10) / ADX강세(31.0),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 10.3% (저변동성),PCR 0.52 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,13.86,-15.33,-635.03,3506.58,0,5,-3,미분류,12.47,16.64,-10.03,20.06,🔵 추세 약화 (모니터링),,-929.6,구름대 위 / RSI 상향돌파 / Stoch GC(K=28) / BB하단(0.19) / RSI상승기울기(+10.2),데이터없음,0,없음,N/A,N/A,,,🚨 IV 95.7% (극고변동성),PCR 0.21 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,394.24,18.65,371.76,2365.44,0,3,1,🟢 강세,356.74,469.25,-9.51,19.03,⚪ 보유 유지,,45.2,구름대 위 / MA 정배열 / ADX강세(35.7),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 55.8% (고변동성),PCR 1.45 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1559.18,-0.56,-8.82,1559.18,0,3,3,🟢 강세,1405.83,1865.89,-9.84,19.67,🟣 추가매수 고려,,-3.0,구름대 위 / MA 정배열 / RSI 상향돌파,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 75.2% (고변동성),PCR 2.22 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,408.95,-1.16,-19.2,1635.8,0,5,3,⚪ 관망,386.65,453.56,-5.45,10.91,🟣 추가매수 고려,,-12.1,구름대 위 / RSI 상향돌파 / Stoch GC(K=30) / BB하단(0.23) / RSI상승기울기(+10.3),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 3.6% (저변동성),PCR 0.69 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,401.93,2.16,25.53,1205.79,0,4,3,🟢 강세,335.02,535.76,-16.65,33.3,🟣 추가매수 고려,,6.0,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+4.7),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 101.7% (극고변동성),PCR 0.6 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,208.64,11.7,109.3,1043.2,0,3,3,🟢 강세,203.31,219.3,-2.55,5.11,🟠 분할익절 고려 (추세 점검),,67.2,구름대 위 / BB하단(0.13) / RSI상승기울기(+3.4),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 18.3% (저변동성),PCR 0.68 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,113.65,74.66,340.06,795.55,0,4,3,🟢 강세,103.48,133.99,-8.95,17.9,🟠 분할익절 고려 (추세 점검),,70.5,구름대 위 / Stoch GC(K=24) / BB하단(0.18) / ADX강세(37.1),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 109.6% (극고변동성),PCR 0.43 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
