ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,50.05,24.13,1274.63,6556.55,0,3,2,미분류,45.24,59.66,-9.61,19.2,⚠ 세 마녀의 날 3일 전,,50.3,구름대 위 / BB하단(0.20) / ADX강세(44.5),데이터없음,0,없음,N/A,N/A,,⚠ 세 마녀의 날 3일 전,🚨 IV 207.6% (극고변동성),PCR 0.6 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,373.25,2.03,89.28,4479.0,0,3,3,⚪ 관망,350.97,417.81,-5.97,11.94,⚠ 세 마녀의 날 3일 전,,14.3,구름대 위 / RSI상승기울기(+6.3) / OBV상승(1.00x),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,⚠ 세 마녀의 날 3일 전,IV 25.5% (저변동성),PCR 0.27 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,13.45,-17.84,-738.76,3402.85,0,3,-3,미분류,12.85,14.64,-4.46,8.85,⚠ 세 마녀의 날 3일 전,,0.0,구름대 위 / OBV상승(1.02x) / ADX강세(26.6),데이터없음,0,없음,N/A,N/A,,⚠ 세 마녀의 날 3일 전,🚨 IV 82.0% (극고변동성),PCR 0.46 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,387.85,16.72,333.42,2327.1,0,2,1,🟢 강세,354.67,454.21,-8.55,17.11,⚠ 세 마녀의 날 3일 전,,45.6,구름대 위 / MA 정배열,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 3일 전,⚠ IV 61.5% (고변동성),PCR 2.44 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1498.77,-4.42,-69.23,1498.77,0,2,3,🟢 강세,1397.98,1700.36,-6.72,13.45,⚠ 세 마녀의 날 3일 전,,-52.3,구름대 위 / BB하단(0.20),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 3일 전,⚠ IV 78.5% (고변동성),PCR 1.21 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,404.66,-2.2,-36.36,1618.64,0,2,1,🟢 강세,382.3,449.38,-5.53,11.05,⚠ 세 마녀의 날 3일 전,,-25.5,구름대 위 / ADX강세(25.1),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,⚠ 세 마녀의 날 3일 전,IV 37.0% (보통),PCR 1.01 (비관적),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,382.81,-2.7,-31.83,1148.43,0,2,3,🟢 강세,333.8,480.82,-12.8,25.6,⚠ 세 마녀의 날 3일 전,,-12.1,구름대 위 / OBV상승(1.01x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,⚠ 세 마녀의 날 3일 전,🚨 IV 100.4% (극고변동성),PCR 1.25 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,207.41,11.05,103.15,1037.05,0,2,3,🟢 강세,198.34,225.54,-4.37,8.74,⚠ 세 마녀의 날 3일 전,,53.2,구름대 위 / RSI상승기울기(+4.3),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 3일 전,IV 27.7% (저변동성),PCR 0.81 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,104.63,60.8,276.92,732.41,0,3,3,🟢 강세,99.11,115.67,-5.28,10.55,⚠ 세 마녀의 날 3일 전,,78.2,구름대 위 / BB하단(0.19) / ADX강세(43.0),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,⚠ 세 마녀의 날 3일 전,🚨 IV 97.2% (극고변동성),PCR 0.22 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
