ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,43.31,7.42,391.69,5673.61,0,2,0,미분류,63.36,3.22,46.29,-92.57,🔴 손절 고려,,0.0,OBV상승(1.02x) / ADX강세(35.0),데이터없음,0,없음,N/A,N/A,,,🚨 IV 172.6% (극고변동성),PCR 0.37 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
TSLL,15.65,12.3,-21.41,-1467.3,5387.4,0,2,-3,미분류,13.49,9.92,9.67,-19.35,🔴 손절 고려,,0.0,OBV상승(1.04x) / ADX강세(26.3),데이터없음,0,없음,N/A,N/A,,,🚨 IV 85.4% (극고변동성),PCR 0.68 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,359.91,-1.61,-70.8,4318.92,0,2,3,🔴 약세,338.46,402.82,-5.96,11.92,⚪ 보유 유지,,-15.9,MACD 양전환 / RSI상승기울기(+5.1),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 22.6% (저변동성),PCR 0.5 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
CDNS,332.28,373.14,12.3,245.16,2238.84,0,3,3,🔴 약세,356.97,405.49,-4.33,8.67,🟠 분할익절 고려 (추세 점검),,55.8,구름대 위 / BB하단(0.24) / RSI상승기울기(+3.7),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 54.4% (고변동성),PCR 1.24 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,393.45,-4.91,-81.2,1573.8,0,2,-1,🟢 강세,393.34,393.66,-0.03,0.05,🟠 손절가 근접 (모니터링),,0.0,OBV상승(1.02x) / ADX강세(25.3),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 33.0% (보통),PCR 0.75 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1288.16,-17.85,-279.84,1288.16,0,2,1,🔴 약세,1345.23,1174.01,4.43,-8.86,🔴 손절 고려,,0.0,BB하단(0.07) / ADX강세(28.1),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 76.3% (고변동성),PCR 2.29 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
NVDA,186.78,194.83,4.31,40.25,974.15,0,2,1,🔴 약세,199.17,186.15,2.23,-4.46,🔴 손절 고려,,0.0,BB하단(0.17) / ADX강세(29.5),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 23.5% (저변동성),PCR 0.54 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,333.36,-15.27,-180.18,1000.08,0,2,3,🔴 약세,324.03,352.02,-2.8,5.6,🟠 손절가 근접 (모니터링),,0.0,BB하단(-0.07) / OBV상승(1.01x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 97.4% (극고변동성),PCR 1.37 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NASA,42.36,29.18,-31.11,-408.58,904.58,0,1,0,미분류,36.33,14.87,24.5,-49.04,🔴 손절 고려,,0.0,ADX강세(28.8),데이터없음,0,없음,N/A,N/A,,,⚠ IV 54.3% (고변동성),PCR 0.27 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,100.46,54.39,247.73,703.22,0,1,3,🟢 강세,100.56,100.26,0.1,-0.2,🔴 손절 고려,,100.6,ADX강세(34.8),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 94.5% (극고변동성),PCR 0.97 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
