ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,52.45,30.08,1589.03,6870.95,0,1,2,미분류,49.65,58.05,-5.34,10.68,🚨 세 마녀의 날 — 변동성 극대화,,68.4,ADX강세(44.8),데이터없음,0,없음,N/A,N/A,,🚨 세 마녀의 날!,🚨 IV 176.8% (극고변동성),PCR 1.23 (비관적),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,368.03,0.61,26.64,4416.36,0,2,3,🔴 약세,345.79,412.52,-6.04,12.09,🚨 세 마녀의 날 — 변동성 극대화,,4.8,구름대 위 / OBV상승(1.03x),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,🚨 세 마녀의 날!,IV 22.3% (저변동성),PCR 0.43 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,13.16,-19.61,-812.13,3329.48,0,2,-3,미분류,13.45,12.58,2.2,-4.41,🚨 세 마녀의 날 — 변동성 극대화,,0.0,OBV상승(1.01x) / ADX강세(29.0),데이터없음,0,없음,N/A,N/A,,🚨 세 마녀의 날!,⚠ IV 70.1% (고변동성),PCR 0.61 (중립),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,387.39,16.59,330.66,2324.34,0,2,1,🟢 강세,354.36,453.46,-8.53,17.06,🚨 세 마녀의 날 — 변동성 극대화,,45.5,구름대 위 / MA 정배열,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,🚨 세 마녀의 날!,⚠ IV 54.9% (고변동성),PCR 2.73 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1563.7,-0.27,-4.3,1563.7,0,4,3,🟢 강세,1397.98,1895.15,-10.6,21.2,🚨 세 마녀의 날 — 변동성 극대화,,-1.3,구름대 위 / RSI 상향돌파 / 거래량급증(2.3x) / RSI상승기울기(+6.1),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,🚨 세 마녀의 날!,⚠ IV 72.1% (고변동성),PCR 0.4 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,400.49,-3.2,-53.04,1601.96,0,2,1,🟡 중립,391.23,419.0,-2.31,4.62,🚨 세 마녀의 날 — 변동성 극대화,,-252.6,OBV상승(1.00x) / ADX강세(26.9),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,🚨 세 마녀의 날!,IV 29.0% (저변동성),PCR 0.65 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,389.57,-0.98,-11.55,1168.71,0,5,3,🟢 강세,333.8,501.1,-14.32,28.63,🚨 세 마녀의 날 — 변동성 극대화,,-3.6,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+4.2) / OBV상승(1.01x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,🚨 세 마녀의 날!,🚨 IV 92.2% (극고변동성),PCR 0.79 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,210.69,12.8,119.55,1053.45,0,2,3,🟢 강세,198.34,235.38,-5.86,11.72,🚨 세 마녀의 날 — 변동성 극대화,,49.2,구름대 위 / RSI상승기울기(+3.2),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,🚨 세 마녀의 날!,IV 24.4% (저변동성),PCR 0.7 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,107.24,64.81,295.19,750.68,0,3,3,🟢 강세,99.11,123.5,-7.58,15.16,🚨 세 마녀의 날 — 변동성 극대화,,72.2,구름대 위 / RSI상승기울기(+4.2) / ADX강세(42.3),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,🚨 세 마녀의 날!,🚨 IV 88.6% (극고변동성),PCR 0.73 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
