ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
TSLL,15.65,13.09,-16.36,-1121.28,5733.42,0,1,-3,미분류,13.49,12.29,3.06,-6.11,🔴 손절 고려,,0.0,RSI상승기울기(+4.8),데이터없음,0,없음,N/A,N/A,,,IV 14.1% (저변동성),PCR 0.48 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,357.18,-2.36,-103.56,4286.16,0,0,3,🔴 약세,338.46,394.63,-5.24,10.48,🟠 신호 소멸 (모니터링),,-29.9,없음,⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 1.6% (저변동성),PCR 0.31 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
CDNS,332.28,384.17,15.62,311.34,2305.02,0,3,3,🟢 강세,357.76,437.0,-6.87,13.75,⚪ 보유 유지,,49.6,구름대 위 / RSI상승기울기(+9.2) / OBV상승(1.04x),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,IV 36.1% (보통),PCR 1.58 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,407.76,-1.45,-23.96,1631.04,0,1,1,🟢 강세,393.34,436.59,-3.54,7.07,⚪ 보유 유지,,-26.2,RSI상승기울기(+4.9),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 3.4% (저변동성),PCR 0.54 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1352.74,-13.73,-215.26,1352.74,0,1,1,🟢 강세,1345.23,1367.75,-0.56,1.11,🟠 손절가 근접 (모니터링),,0.0,ADX강세(27.4),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 68.0% (고변동성),PCR 1.28 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
NVDA,186.78,210.96,12.95,120.9,1054.8,0,2,3,🟢 강세,199.17,234.54,-5.59,11.18,🟠 분할익절 고려 (추세 점검),,50.6,RSI상승기울기(+3.6) / OBV상승(1.02x),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 7.0% (저변동성),PCR 0.35 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,324.5,-17.52,-206.76,973.5,0,2,3,🟢 강세,323.0,327.51,-0.46,0.93,🟠 손절가 근접 (모니터링),,0.0,BB하단(0.15) / ADX강세(30.6),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,⚠ IV 67.0% (고변동성),PCR 1.25 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NASA,42.36,26.18,-38.2,-501.58,811.58,0,2,0,미분류,36.81,4.93,40.6,-81.17,🔴 손절 고려,,0.0,BB하단(0.18) / ADX강세(32.4),데이터없음,0,없음,N/A,N/A,,,⚠ IV 74.2% (고변동성),PCR 0.72 (중립),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,81.04,24.54,111.79,567.28,0,2,1,🟢 강세,103.05,37.02,27.16,-54.32,🔴 손절 고려,,0.0,BB하단(0.15) / ADX강세(33.5),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,IV 43.2% (보통),PCR 0.48 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
