ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
TSLL,15.65,12.35,-21.09,-1445.4,5409.3,0,2,-3,미분류,13.49,10.07,9.23,-18.46,🔴 손절 고려,,0.0,RSI 상향돌파 / OBV상승(1.03x),데이터없음,0,없음,N/A,N/A,,,⚠ IV 77.3% (고변동성),PCR 0.44 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,359.51,-1.72,-75.6,4314.12,0,1,3,🔴 약세,340.29,397.96,-5.35,10.7,⚪ 보유 유지,,-19.6,RSI상승기울기(+18.2),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 25.8% (저변동성),PCR 0.29 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
CDNS,332.28,376.8,13.4,267.12,2260.8,0,2,3,🟡 중립,356.97,416.47,-5.26,10.53,🟠 분할익절 고려 (추세 점검),,52.9,MA 정배열 / RSI 상향돌파,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 58.7% (고변동성),PCR 2.18 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,396.18,-4.25,-70.28,1584.72,0,2,1,🔴 약세,393.34,401.85,-0.72,1.43,🟠 손절가 근접 (모니터링),,0.0,RSI 상향돌파 / OBV상승(1.02x),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 31.5% (보통),PCR 0.66 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1376.41,-12.22,-191.59,1376.41,0,3,1,🟡 중립,1345.23,1438.76,-2.27,4.53,🟠 손절가 근접 (모니터링),,0.0,RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+11.7),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,🚨 IV 80.2% (극고변동성),PCR 0.97 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
NVDA,186.78,211.8,13.4,125.1,1059.0,0,3,3,🟡 중립,199.17,237.06,-5.96,11.93,⚪ 보유 유지,,49.8,RSI상승기울기(+10.5) / OBV상승(1.02x) / ADX강세(25.9),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 29.8% (저변동성),PCR 0.45 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,310.77,-21.01,-247.95,932.31,0,2,1,🟡 중립,326.14,280.04,4.95,-9.89,🔴 손절 고려,,0.0,BB하단(0.14) / ADX강세(34.2),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 105.1% (극고변동성),PCR 0.3 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NASA,42.36,25.21,-40.49,-531.65,781.51,0,4,0,미분류,36.5,2.63,44.78,-89.57,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.13) / RSI상승기울기(+4.5) / ADX강세(37.9),데이터없음,0,없음,N/A,N/A,,,⚠ IV 63.5% (고변동성),PCR 0.86 (중립),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,78.81,21.12,96.18,551.67,0,5,1,🟢 강세,103.05,30.33,30.76,-61.52,🔴 손절 고려,,0.0,RSI 상향돌파 / Stoch GC(K=19) / BB하단(0.17) / RSI상승기울기(+6.1) / ADX강세(35.6),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 84.4% (극고변동성),PCR 0.61 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
