date,ticker,price,signals,adj_sig,sell_cnt,weekly,sector,trend_type,stop,stop_pct,target,target_pct,rr,buy_detail,sell_detail,strategy,details,fund_judge,beta,near_52w,priority,adx,fund_cnt,fund_risks,growth_score,growth_grade,growth_detail,tw_warning,tw_days,iv_label,pcr_label,iv_warning,vix_status,vix_signal,industry
2026-06-11,GD,358.86,7,11,1,3,🟢 강세,완전상승,341.38,-4.87,393.82,9.74,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / 거래량급증(1.7x) / RSI상승기울기(+8.9) / OBV상승(1.08x),BB상단(1.30),A,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / 거래량급증(1.7x) / RSI상승기울기(+8.9) / OBV상승(1.08x),⚠ 주의,0.39,True,⭐⭐,18.2,1,현금<총부채,8,🔥 최우선,시총:중형 $97.0B ⭐ / PEG:2.53 (고평가) / PSR:1.80 ⭐ (섹터 적정) / PER:22.6 ⭐ (섹터 적정) / ForwardPER:19.8 ⭐ (섹터 적정) / PER개선:Trailing 22.6 → Forward 19.8 ⭐ (이익개선) / EPS성장:+11.3% ⭐ / OPM:10.2% (▲0.1%p) ⭐ / 목표주가:$392 (▲9.3%) / 내부자:순매수 ⭐ / IV:IV 45.7% (보통) / PCR:PCR 0.52 (중립),,8,IV 45.7% (보통),PCR 0.52 (중립),False,🟢 정상 구간,정상 시장 환경,Aerospace & Defense
2026-06-11,LRCX,362.52,5,9,1,3,🟢 강세,완전상승,311.01,-14.21,465.53,28.41,2.0,구름대 위 / MA 정배열 / MACD 양전환 / OBV상승(1.04x) / ADX강세(27.7),BB상단(1.06),C,구름대 위 / MA 정배열 / MACD 양전환 / OBV상승(1.04x) / ADX강세(27.7),⚠ 주의,3.13,True,⭐,27.7,1,매출채권↑>매출↑,8,🔥 최우선,시총:대형 $453.4B / PEG:1.89 ⭐ (적정) / PSR:20.91 (섹터 고평가) / PER:68.7 (섹터 고평가) / ForwardPER:45.5 (섹터 고평가) / PER개선:Trailing 68.7 → Forward 45.5 ⭐ (이익개선) / EPS성장:+40.0% ⭐⭐⭐ / OPM:32.0% (▲3.3%p) ⭐⭐ / 목표주가:$318 (▲-12.2%) / 내부자:순매수 ⭐ / IV:⚠ IV 72.1% (고변동성) / PCR:PCR 0.56 (중립),,8,⚠ IV 72.1% (고변동성),PCR 0.56 (중립),True,🟢 정상 구간,정상 시장 환경,Semiconductor Equipment & Materials
2026-06-11,KIM,25.75,5,9,1,3,🟢 강세,완전상승,24.71,-4.04,27.82,8.04,2.0,구름대 위 / MA 정배열 / 거래량급증(3.2x) / OBV상승(1.80x) / ADX강세(41.3),BB상단(1.10),A,구름대 위 / MA 정배열 / 거래량급증(3.2x) / OBV상승(1.80x) / ADX강세(41.3),⚠ 주의,0.26,True,⭐,41.3,2,현금<총부채 / 우선주존재,8,🔥 최우선,시총:중형 $17.4B ⭐ / PEG:3.37 (고평가) / PSR:8.03 ⭐ (섹터 적정) / PER:29.6 ⭐ (섹터 적정) / ForwardPER:29.8 ⭐ (섹터 적정) / EPS성장:+42.3% ⭐⭐⭐ / OPM:33.5% (▼1.3%p) / 목표주가:$26 (▲-0.3%) / 내부자:순매수 ⭐ / IV:IV 47.7% (보통) / PCR:PCR 0.59 (중립),,8,IV 47.7% (보통),PCR 0.59 (중립),False,🟢 정상 구간,정상 시장 환경,REIT - Retail
2026-06-11,CVS,100.48,5,9,1,3,🟢 강세,완전상승,95.52,-4.94,110.41,9.88,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+10.0) / OBV상승(1.07x) / ADX강세(38.3),BB상단(1.05),C,구름대 위 / MA 정배열 / RSI상승기울기(+10.0) / OBV상승(1.07x) / ADX강세(38.3),⚠ 주의,0.27,True,⭐,38.3,1,현금<총부채,9,🔥 최우선,시총:대형 $128.2B / PEG:0.27 ⭐⭐⭐ (성장대비 저평가) / PSR:0.32 ⭐⭐ (섹터 저평가) / PER:44.1 (섹터 고평가) / ForwardPER:12.0 ⭐⭐ (섹터 저평가) / PER개선:Trailing 44.1 → Forward 12.0 ⭐ (이익개선) / EPS성장:-61.7% / OPM:2.6% (▼0.0%p) / 목표주가:$104 (▲3.3%) / 내부자:순매수 ⭐ / IV:IV 26.6% (저변동성) / PCR:PCR 0.14 (낙관적/과열주의),,8,IV 26.6% (저변동성),PCR 0.14 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Healthcare Plans
2026-06-11,EMR,142.09,5,9,0,3,🟢 강세,완전상승,136.19,-4.15,153.89,8.3,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(1.05x),없음,A,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(1.05x),🔴 위험,1.77,True,⭐,14.7,3,현금<총부채 / 단기부채>현금 / 무형자산66%,9,🔥 최우선,시총:중형 $79.6B ⭐ / PEG:1.95 ⭐ (적정) / PSR:4.35 (섹터 고평가) / PER:32.9 (섹터 고평가) / ForwardPER:19.8 ⭐ (섹터 적정) / PER개선:Trailing 32.9 → Forward 19.8 ⭐ (이익개선) / EPS성장:+16.5% ⭐ / OPM:19.6% (▲4.4%p) ⭐⭐ / 목표주가:$164 (▲15.2%) ⭐ / 내부자:순매수 ⭐ / IV:IV 44.2% (보통) / PCR:PCR 0.25 (낙관적/과열주의),,8,IV 44.2% (보통),PCR 0.25 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Specialty Industrial Machinery
2026-06-11,LUV,44.29,5,8,1,3,🟢 강세,완전상승,40.65,-8.22,51.56,16.41,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(1.00x),BB상단(0.91),A,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(1.00x),⚠ 주의,1.97,True,,22.1,1,현금<총부채,7,⭐ 유망,시총:중형 $21.6B ⭐ / PEG:0.28 ⭐⭐⭐ (성장대비 저평가) / PSR:0.75 (섹터 고평가) / PER:29.5 (섹터 고평가) / ForwardPER:9.8 ⭐ (섹터 적정) / PER개선:Trailing 29.5 → Forward 9.8 ⭐ (이익개선) / EPS성장:-5.2% / OPM:1.5% (▼0.4%p) / 목표주가:$46 (▲3.1%) / 내부자:순매수 ⭐ / IV:⚠ IV 53.3% (고변동성) / PCR:PCR 1.76 (비관적),,8,⚠ IV 53.3% (고변동성),PCR 1.76 (비관적),True,🟢 정상 구간,정상 시장 환경,Airlines
2026-06-11,TRV,303.9,5,8,0,3,🟡 중립,상승추세,295.59,-2.73,320.51,5.47,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+3.5) / OBV상승(1.03x) / ADX강세(30.2),없음,D,구름대 위 / MA 정배열 / RSI상승기울기(+3.5) / OBV상승(1.03x) / ADX강세(30.2),⚠ 주의,-0.02,True,,30.2,1,현금<총부채,8,🔥 최우선,시총:중형 $64.6B ⭐ / PEG:2.36 (고평가) / PSR:1.32 ⭐ (섹터 적정) / PER:9.1 ⭐⭐ (섹터 저평가) / ForwardPER:10.6 ⭐ (섹터 적정) / EPS성장:+25.8% ⭐ / OPM:16.8% (▲2.7%p) ⭐ / 목표주가:$314 (▲3.5%) / 내부자:순매수 ⭐ / IV:IV 32.2% (보통) / PCR:PCR 0.64 (중립),,8,IV 32.2% (보통),PCR 0.64 (중립),False,🟢 정상 구간,정상 시장 환경,Insurance - Property & Casualty
2026-06-11,PSX,178.1,5,8,0,3,🟡 중립,약세전환,168.61,-5.33,197.08,10.66,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+11.1) / OBV상승(1.01x),없음,A,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+11.1) / OBV상승(1.01x),⚠ 주의,-0.75,True,,22.6,2,현금<총부채 / 재고↑이익↓,8,🔥 최우선,시총:중형 $71.4B ⭐ / PEG:1.04 ⭐ (적정) / PSR:0.53 (섹터 고평가) / PER:17.6 (섹터 고평가) / ForwardPER:10.4 ⭐ (섹터 적정) / PER개선:Trailing 17.6 → Forward 10.4 ⭐ (이익개선) / EPS성장:+108.0% ⭐⭐⭐ / OPM:2.6% (▼1.3%p) / 목표주가:$191 (▲7.2%) / 내부자:순매수 ⭐ / IV:⚠ IV 74.1% (고변동성) / PCR:PCR 0.14 (낙관적/과열주의),,8,⚠ IV 74.1% (고변동성),PCR 0.14 (낙관적/과열주의),True,🟢 정상 구간,정상 시장 환경,Oil & Gas Refining & Marketing
2026-06-11,CSX,47.37,6,8,1,3,🟢 강세,완전상승,45.4,-4.16,51.31,8.32,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(1.05x) / ADX강세(25.3),BB상단(0.96),A,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(1.05x) / ADX강세(25.3),⚠ 주의,0.5,True,,25.3,2,현금<총부채 / 단기부채>현금,4,✅ 관심,시총:중형 $88.0B ⭐ / PEG:2.15 (고평가) / PSR:6.22 (섹터 고평가) / PER:29.1 (섹터 고평가) / ForwardPER:21.9 ⭐ (섹터 적정) / PER개선:Trailing 29.1 → Forward 21.9 ⭐ (이익개선) / EPS성장:-16.7% / OPM:33.5% (▼3.7%p) / 목표주가:$46 (▲-2.5%) / 내부자:순매수 ⭐ / IV:⚠ IV 58.2% (고변동성) / PCR:PCR 0.1 (낙관적/과열주의),,8,⚠ IV 58.2% (고변동성),PCR 0.1 (낙관적/과열주의),True,🟢 정상 구간,정상 시장 환경,Railroads
2026-06-11,ALL,219.57,5,8,1,3,🟡 중립,상승추세,209.06,-4.79,240.59,9.57,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+12.7) / OBV상승(1.03x) / ADX강세(33.4),Stoch DC(K=66),D,구름대 위 / MA 정배열 / RSI상승기울기(+12.7) / OBV상승(1.03x) / ADX강세(33.4),⚠ 주의,-0.35,True,,33.4,1,현금<총부채,12,🔥 최우선,시총:중형 $56.5B ⭐ / PEG:2.58 (고평가) / PSR:0.83 ⭐ (섹터 적정) / PER:4.9 ⭐⭐ (섹터 저평가) / ForwardPER:8.4 ⭐⭐ (섹터 저평가) / EPS성장:+120.3% ⭐⭐⭐ / OPM:20.2% (▲10.5%p) ⭐⭐ / 목표주가:$241 (▲9.6%) / 내부자:순매수 ⭐ / IV:IV 35.5% (보통) / PCR:PCR 0.27 (낙관적/과열주의),,8,IV 35.5% (보통),PCR 0.27 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Insurance - Property & Casualty
2026-06-11,FOX,61.36,5,8,1,3,⚪ 관망,반등시도,58.15,-5.23,67.79,10.48,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+3.9) / OBV상승(1.05x) / ADX강세(32.2),BB상단(0.99),C,구름대 위 / MA 정배열 / RSI상승기울기(+3.9) / OBV상승(1.05x) / ADX강세(32.2),⚠ 주의,0.09,True,,32.2,1,현금<총부채,13,🔥 최우선,시총:중형 $25.8B ⭐ / PEG:N/A / PSR:1.59 ⭐⭐ (섹터 저평가) / PER:16.1 ⭐⭐ (섹터 저평가) / ForwardPER:10.8 ⭐⭐ (섹터 저평가) / PER개선:Trailing 16.1 → Forward 10.8 ⭐ (이익개선) / EPS성장:+50.8% ⭐⭐⭐ / OPM:19.8% (▲2.1%p) ⭐ / 목표주가:N/A / 내부자:순매수 ⭐ / IV:IV 39.6% (보통) / PCR:PCR 0.1 (낙관적/과열주의),,8,IV 39.6% (보통),PCR 0.1 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Entertainment
2026-06-11,KO,82.53,5,8,0,3,🟢 강세,완전상승,78.92,-4.37,89.75,8.75,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+6.5) / OBV상승(1.08x) / ADX강세(34.2),없음,C,구름대 위 / MA 정배열 / RSI상승기울기(+6.5) / OBV상승(1.08x) / ADX강세(34.2),⚠ 주의,-0.27,True,,34.2,1,현금<총부채,6,⭐ 유망,시총:대형 $355.1B / PEG:4.07 (고평가) / PSR:7.20 (섹터 고평가) / PER:26.0 ⭐ (섹터 적정) / ForwardPER:23.7 ⭐ (섹터 적정) / PER개선:Trailing 26.0 → Forward 23.7 ⭐ (이익개선) / EPS성장:+23.3% ⭐ / OPM:31.1% (▲1.3%p) ⭐ / 목표주가:$86 (▲4.3%) / 내부자:순매수 ⭐ / IV:IV 18.7% (저변동성) / PCR:PCR 0.43 (낙관적/과열주의),,8,IV 18.7% (저변동성),PCR 0.43 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Beverages - Non-Alcoholic
2026-06-11,FTNT,145.06,5,8,0,3,🟢 강세,완전상승,132.23,-8.84,170.71,17.68,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+3.7) / OBV상승(1.05x) / ADX강세(51.5),없음,C,구름대 위 / MA 정배열 / RSI상승기울기(+3.7) / OBV상승(1.05x) / ADX강세(51.5),⚠ 주의,0.66,True,,51.5,1,재고↑이익↓,5,⭐ 유망,시총:대형 $106.3B / PEG:3.23 (고평가) / PSR:14.95 ⭐ (섹터 적정) / PER:56.2 (섹터 고평가) / ForwardPER:42.3 ⭐ (섹터 적정) / PER개선:Trailing 56.2 → Forward 42.3 ⭐ (이익개선) / EPS성장:6.2% / OPM:30.7% (▲0.4%p) ⭐ / 목표주가:$110 (▲-24.0%) / 내부자:순매수 ⭐ / IV:⚠ IV 51.1% (고변동성) / PCR:PCR 1.24 (비관적),,8,⚠ IV 51.1% (고변동성),PCR 1.24 (비관적),True,🟢 정상 구간,정상 시장 환경,Software - Infrastructure
2026-06-11,IVZ,28.29,5,8,0,3,🟡 중립,상승추세,26.36,-6.82,32.15,13.64,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / OBV상승(1.00x) / ADX강세(30.7),없음,D,구름대 위 / MA 정배열 / RSI 상향돌파 / OBV상승(1.00x) / ADX강세(30.7),⚠ 주의,1.47,True,,30.7,2,현금<총부채 / 매출채권↑>매출↑,9,🔥 최우선,시총:중형 $12.5B ⭐ / PEG:0.38 ⭐⭐⭐ (성장대비 저평가) / PSR:1.90 ⭐⭐ (섹터 저평가) / PER:N/A / ForwardPER:9.5 ⭐⭐ (섹터 저평가) / EPS성장:N/A / OPM:-10.9% (▼24.6%p) / 목표주가:$30 (▲4.6%) / 내부자:순매수 ⭐ / IV:IV 44.9% (보통) / PCR:PCR 1.24 (비관적),,8,IV 44.9% (보통),PCR 1.24 (비관적),False,🟢 정상 구간,정상 시장 환경,Asset Management
