ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,43.12,6.94,366.8,5648.72,0,2,0,미분류,58.89,11.57,36.57,-73.17,🔴 손절 고려,,0.0,RSI상승기울기(+6.3) / ADX강세(40.0),데이터없음,0,없음,N/A,N/A,,,🚨 IV 191.2% (극고변동성),PCR 0.36 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,361.21,-1.26,-55.2,4334.52,0,1,3,🔴 약세,338.46,406.72,-6.3,12.6,⚪ 보유 유지,,-11.2,RSI상승기울기(+8.4),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 10.2% (저변동성),PCR 0.34 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,14.5,-11.42,-473.11,3668.5,0,3,-1,미분류,13.49,16.52,-6.97,13.93,🔵 추세 약화 (모니터링),,-1246.7,RSI상승기울기(+15.7) / OBV상승(1.08x) / ADX강세(29.4),데이터없음,0,없음,N/A,N/A,,,🚨 IV 87.5% (극고변동성),PCR 0.41 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,377.73,13.68,272.7,2266.38,0,3,3,🔴 약세,356.97,419.26,-5.5,10.99,🟠 분할익절 고려 (추세 점검),,52.3,구름대 위 / RSI 상향돌파 / RSI상승기울기(+10.0),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 53.3% (고변동성),PCR 1.48 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,425.3,2.79,46.2,1701.2,0,5,3,🟢 강세,393.34,489.21,-7.51,15.03,🟣 추가매수 고려,,15.3,구름대 위 / MA 정배열 / RSI상승기울기(+15.4) / OBV상승(1.04x) / ADX강세(28.8),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 6.3% (저변동성),PCR 0.6 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1331.73,-15.07,-236.27,1331.73,0,3,1,🔴 약세,1326.02,1343.14,-0.43,0.86,🟠 손절가 근접 (모니터링),,0.0,BB하단(0.13) / RSI상승기울기(+6.3) / ADX강세(26.9),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 70.8% (고변동성),PCR 1.51 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,368.65,-6.3,-74.31,1105.95,0,4,3,🔴 약세,333.8,438.34,-9.45,18.9,🟣 추가매수 고려,,-55.1,구름대 위 / BB하단(0.25) / RSI상승기울기(+4.3) / OBV상승(1.04x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 81.5% (극고변동성),PCR 0.72 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,197.58,5.78,54.0,987.9,0,3,3,🔴 약세,199.17,194.4,0.8,-1.61,🔴 손절 고려,,141.7,BB하단(0.24) / RSI상승기울기(+9.9) / ADX강세(29.0),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 5.3% (저변동성),PCR 0.59 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
NASA,42.36,29.45,-30.48,-400.21,912.95,0,2,0,미분류,34.21,19.92,16.16,-32.36,🔴 손절 고려,,0.0,RSI상승기울기(+6.3) / ADX강세(31.4),데이터없음,0,없음,N/A,N/A,,,🚨 IV 89.1% (극고변동성),PCR 0.31 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,100.07,53.79,245.0,700.49,0,2,3,🟡 중립,97.46,105.3,-2.61,5.23,🟡 1/3 익절 고려,,87.0,RSI상승기울기(+5.8) / ADX강세(38.6),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,⚠ IV 77.7% (고변동성),PCR 0.37 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
