ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,41.41,2.7,142.79,5424.71,0,3,0,미분류,58.7,6.82,41.75,-83.53,🔴 손절 고려,,0.0,거래량급증(1.8x) / RSI상승기울기(+11.6) / ADX강세(51.7),데이터없음,0,없음,N/A,N/A,,,🚨 IV 172.9% (극고변동성),PCR 0.37 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,353.65,-3.32,-145.92,4243.8,0,3,3,🔴 약세,338.46,384.04,-4.3,8.59,🟣 추가매수 고려,,-66.7,RSI 상향돌파 / RSI상승기울기(+13.9) / ADX강세(27.9),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 9.8% (저변동성),PCR 0.64 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,13.64,-16.68,-690.69,3450.92,0,3,-1,미분류,13.49,13.94,-1.1,2.2,🟠 손절가 근접 (모니터링),,0.0,RSI상승기울기(+14.9) / OBV상승(1.03x) / ADX강세(27.9),데이터없음,0,없음,N/A,N/A,,,🚨 IV 91.4% (극고변동성),PCR 0.28 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,372.72,12.17,242.64,2236.32,0,3,3,⚪ 관망,356.97,404.23,-4.23,8.45,🟠 분할익절 고려 (추세 점검),,56.2,구름대 위 / BB하단(0.20) / RSI상승기울기(+4.3),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 50.4% (고변동성),PCR 1.37 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,411.84,-0.46,-7.64,1647.36,0,3,1,⚪ 관망,393.34,448.83,-4.49,8.98,⚪ 보유 유지,,-5.4,RSI상승기울기(+14.9) / OBV상승(1.02x) / ADX강세(26.3),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 4.7% (저변동성),PCR 0.74 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1312.77,-16.28,-255.23,1312.77,0,2,1,⚪ 관망,1324.07,1290.17,0.86,-1.72,🔴 손절 고려,,0.0,BB하단(-0.00) / ADX강세(29.3),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 73.1% (고변동성),PCR 2.08 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,391.22,-0.56,-6.6,1173.66,0,3,3,⚪ 관망,333.8,506.05,-14.68,29.35,🟣 추가매수 고려,,-2.0,구름대 위 / MA 정배열 / OBV상승(1.05x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 91.3% (극고변동성),PCR 1.05 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,194.97,4.38,40.95,974.85,0,4,1,⚪ 관망,199.17,186.57,2.15,-4.31,🔴 손절 고려,,0.0,Stoch GC(K=25) / BB하단(0.15) / RSI상승기울기(+4.8) / ADX강세(29.9),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 2.1% (저변동성),PCR 0.62 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
NASA,42.36,29.19,-31.09,-408.27,904.89,0,3,0,미분류,33.12,21.32,13.46,-26.96,🔴 손절 고려,,0.0,RSI 상향돌파 / RSI상승기울기(+12.9) / ADX강세(41.1),데이터없음,0,없음,N/A,N/A,,,⚠ IV 78.3% (고변동성),PCR 0.17 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,98.01,50.62,230.58,686.07,0,2,3,🟢 강세,96.77,100.49,-1.27,2.53,🟡 1/3 익절 고려,,93.0,RSI상승기울기(+14.1) / ADX강세(49.3),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 92.1% (극고변동성),PCR 0.39 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
