ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,55.6,37.9,2001.68,7283.6,0,3,2,미분류,47.76,71.28,-14.1,28.2,⚪ 보유 유지,,49.4,구름대 위 / BB하단(0.10) / ADX강세(38.9),데이터없음,0,없음,N/A,N/A,,,🚨 IV 214.1% (극고변동성),PCR 0.57 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,364.26,-0.42,-18.6,4371.12,0,3,3,⚪ 관망,355.52,381.73,-2.4,4.8,🟠 손절가 근접 (모니터링),,-9.7,구름대 위 / BB하단(0.16) / ADX강세(27.9),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 25.3% (저변동성),PCR 0.35 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,13.02,-20.46,-847.55,3294.06,0,4,-3,미분류,12.25,14.56,-5.91,11.83,🔵 추세 약화 (모니터링),,0.0,구름대 위 / BB하단(0.06) / RSI상승기울기(+9.4) / ADX강세(25.8),데이터없음,0,없음,N/A,N/A,,,🚨 IV 103.1% (극고변동성),PCR 0.4 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,390.9,17.64,351.72,2345.4,0,4,1,🟢 강세,350.51,471.67,-10.33,20.66,⚪ 보유 유지,,42.1,구름대 위 / MA 정배열 / RSI상승기울기(+6.6) / ADX강세(33.4),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 58.2% (고변동성),PCR 1.97 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1531.98,-2.3,-36.02,1531.98,0,3,3,🟢 강세,1397.98,1799.99,-8.75,17.49,🟣 추가매수 고려,,-15.5,구름대 위 / MA 정배열 / RSI상승기울기(+8.4),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 80.0% (고변동성),PCR 1.07 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,396.68,-4.13,-68.28,1586.72,0,4,-1,⚪ 관망,382.32,425.4,-3.62,7.24,🔵 추세 약화 (모니터링),,-146.5,구름대 위 / BB하단(0.07) / RSI상승기울기(+10.0) / ADX강세(25.9),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 40.1% (보통),PCR 1.02 (비관적),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
NVDA,186.78,208.19,11.46,107.05,1040.95,0,4,3,🟢 강세,198.34,227.88,-4.73,9.46,🟠 분할익절 고려 (추세 점검),,52.1,구름대 위 / Stoch GC(K=28) / BB하단(0.15) / RSI상승기울기(+6.0),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 33.0% (보통),PCR 0.85 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,355.94,-9.53,-112.44,1067.82,0,3,3,🟢 강세,333.92,399.99,-6.19,12.38,🟣 추가매수 고려,,-570.5,구름대 위 / MA 정배열 / BB하단(0.19),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 106.3% (극고변동성),PCR 1.07 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
RKLB,65.07,108.23,66.33,302.12,757.61,0,3,3,🟡 중립,100.69,123.3,-6.97,13.92,🟠 분할익절 고려 (추세 점검),,74.1,구름대 위 / BB하단(0.10) / ADX강세(38.8),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 120.4% (극고변동성),PCR 0.78 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
