ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,63.45,57.37,3030.03,8311.95,0,3,2,미분류,35.42,119.51,-44.18,88.35,⚪ 보유 유지,,29.2,구름대 위 / MA 정배열 / ADX강세(38.3),데이터없음,0,없음,N/A,N/A,,,🚨 IV 210.4% (극고변동성),PCR 0.67 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,358.99,-1.86,-81.84,4307.88,0,3,3,⚪ 관망,356.29,364.39,-0.75,1.5,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(-0.13) / ADX강세(33.5),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 11.2% (저변동성),PCR 0.56 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,15.01,-8.31,-344.08,3797.53,0,2,-1,미분류,12.91,19.2,-13.99,27.91,🔵 추세 약화 (모니터링),,-48.1,구름대 위 / MA 정배열,데이터없음,0,없음,N/A,N/A,,,🚨 IV 81.3% (극고변동성),PCR 0.27 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,408.0,22.79,454.32,2448.0,0,4,1,🟡 중립,376.61,470.78,-7.69,15.39,🟠 분할익절 고려 (추세 점검),,54.7,구름대 위 / MA 정배열 / OBV상승(1.21x) / ADX강세(42.5),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 53.9% (고변동성),PCR 1.83 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1689.89,7.77,121.89,1689.89,0,3,3,🟡 중립,1525.94,2017.79,-9.7,19.4,⚪ 보유 유지,,27.1,구름대 위 / MA 정배열 / RSI상승기울기(+12.3),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 68.3% (고변동성),PCR 1.17 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,423.7,2.4,39.8,1694.8,0,2,3,🟡 중립,394.11,482.87,-6.98,13.97,⚪ 보유 유지,,14.4,구름대 위 / MA 정배열,⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 8.5% (저변동성),PCR 0.55 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,417.43,6.1,72.03,1252.29,0,3,3,🟡 중립,354.22,543.86,-15.14,30.29,⚪ 보유 유지,,16.0,구름대 위 / MA 정배열 / RSI상승기울기(+10.0),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 94.3% (극고변동성),PCR 7.0 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,214.75,14.97,139.85,1073.75,0,1,3,🟡 중립,198.05,248.14,-7.78,15.55,⚪ 보유 유지,,45.6,구름대 위,⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 14.4% (저변동성),PCR 0.42 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,114.7,76.27,347.41,802.9,0,3,3,🟢 강세,91.04,162.02,-20.63,41.26,🟠 분할익절 고려 (추세 점검),,51.2,구름대 위 / MA 정배열 / ADX강세(39.7),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 90.2% (극고변동성),PCR 0.58 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
