ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,44.56,10.52,555.44,5837.36,0,3,0,미분류,58.7,16.27,31.73,-63.49,🔴 손절 고려,,0.0,RSI상승기울기(+10.4) / OBV상승(1.00x) / ADX강세(45.8),데이터없음,0,없음,N/A,N/A,,,🚨 IV 175.5% (극고변동성),PCR 0.3 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,357.37,-2.31,-101.28,4288.44,0,2,3,🔴 약세,338.46,395.2,-5.29,10.59,⚪ 보유 유지,,-28.7,RSI상승기울기(+16.7) / ADX강세(25.3),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 25.0% (저변동성),PCR 0.35 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,14.16,-13.5,-559.13,3582.48,0,4,-1,미분류,13.49,15.5,-4.73,9.46,🔵 추세 약화 (모니터링),,0.0,MACD 양전환 / RSI상승기울기(+12.7) / OBV상승(1.05x) / ADX강세(28.1),데이터없음,0,없음,N/A,N/A,,,🚨 IV 90.6% (극고변동성),PCR 0.4 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,375.32,12.95,258.24,2251.92,0,1,3,⚪ 관망,356.97,412.03,-4.89,9.78,🟠 분할익절 고려 (추세 점검),,54.0,구름대 위,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 53.4% (고변동성),PCR 1.17 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,420.6,1.66,27.4,1682.4,0,5,3,🟡 중립,393.34,475.11,-6.48,12.96,🟣 추가매수 고려,,11.2,구름대 위 / MACD 양전환 / RSI상승기울기(+12.6) / OBV상승(1.03x) / ADX강세(27.1),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 33.8% (보통),PCR 0.52 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1382.36,-11.84,-185.64,1382.36,0,4,3,⚪ 관망,1328.05,1490.98,-3.93,7.86,🟣 추가매수 고려,,0.0,RSI 상향돌파 / Stoch GC(K=30) / BB하단(0.20) / ADX강세(28.1),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 71.0% (고변동성),PCR 1.81 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,394.47,0.27,3.15,1183.41,0,5,3,⚪ 관망,333.8,515.8,-15.38,30.76,🟣 추가매수 고려,,0.9,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+7.0) / OBV상승(1.06x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 88.7% (극고변동성),PCR 1.18 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,200.09,7.13,66.55,1000.45,0,3,3,⚪ 관망,199.17,201.93,-0.46,0.92,🟡 1/3 익절 고려,,87.9,RSI 상향돌파 / RSI상승기울기(+4.4) / ADX강세(29.0),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 26.5% (저변동성),PCR 0.44 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Semiconductors
NASA,42.36,30.38,-28.28,-371.38,941.78,0,2,0,미분류,33.62,23.9,10.66,-21.33,🔴 손절 고려,,0.0,RSI상승기울기(+14.6) / ADX강세(36.0),데이터없음,0,없음,N/A,N/A,,,⚠ IV 64.4% (고변동성),PCR 0.06 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,101.65,56.22,256.06,711.55,0,2,3,🟢 강세,96.77,111.41,-4.8,9.6,🟠 분할익절 고려 (추세 점검),,78.9,RSI상승기울기(+12.2) / ADX강세(42.9),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 87.0% (극고변동성),PCR 0.27 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
