ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,73.83,83.11,4389.81,9671.73,0,3,2,미분류,41.55,138.39,-43.72,87.44,⚪ 보유 유지,,34.2,구름대 위 / MA 정배열 / ADX강세(40.3),데이터없음,0,없음,N/A,N/A,,,🚨 IV 225.9% (극고변동성),PCR 1.01 (비관적),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,361.85,-1.08,-47.52,4342.2,0,3,3,⚪ 관망,356.65,372.25,-1.44,2.87,🟠 손절가 근접 (모니터링),,-61.5,구름대 위 / BB하단(-0.24) / ADX강세(31.0),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 29.0% (저변동성),PCR 0.63 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,15.01,-8.31,-344.08,3797.53,0,2,-1,미분류,12.97,19.09,-13.59,27.18,🔵 추세 약화 (모니터링),,-50.0,구름대 위 / MA 정배열,데이터없음,0,없음,N/A,N/A,,,🚨 IV 84.6% (극고변동성),PCR 0.32 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,416.39,25.31,504.66,2498.34,0,4,1,🟡 중립,384.9,479.38,-7.56,15.13,🟠 분할익절 고려 (추세 점검),,57.2,구름대 위 / MA 정배열 / OBV상승(1.32x) / ADX강세(38.4),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 57.5% (고변동성),PCR 0.58 (중립),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1624.99,3.63,56.99,1624.99,0,4,3,🟡 중립,1460.28,1954.4,-10.14,20.27,🟣 추가매수 고려,,14.7,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+4.5),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 67.4% (고변동성),PCR 1.02 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,423.74,2.41,39.96,1694.96,0,2,3,🟡 중립,395.09,481.04,-6.76,13.52,⚪ 보유 유지,,14.8,구름대 위 / MA 정배열,⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 34.8% (보통),PCR 0.64 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,426.89,8.51,100.41,1280.67,0,6,3,🟡 중립,363.37,553.94,-14.88,29.76,⚪ 보유 유지,,20.9,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+6.2) / OBV상승(1.00x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 111.9% (극고변동성),PCR 1.1 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,222.82,19.3,180.2,1114.1,0,3,3,🟡 중립,206.11,256.23,-7.5,14.99,🟠 분할익절 고려 (추세 점검),,51.9,구름대 위 / RSI상승기울기(+5.4) / ADX강세(25.6),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 30.8% (보통),PCR 0.34 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,123.32,89.52,407.75,863.24,0,3,3,🟢 강세,99.03,171.91,-19.7,39.4,🟠 분할익절 고려 (추세 점검),,54.5,구름대 위 / MA 정배열 / ADX강세(42.5),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 105.3% (극고변동성),PCR 0.22 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
