date,ticker,price,signals,adj_sig,sell_cnt,weekly,sector,trend_type,stop,stop_pct,target,target_pct,rr,buy_detail,sell_detail,strategy,details,fund_judge,beta,near_52w,priority,adx,fund_cnt,fund_risks,growth_score,growth_grade,growth_detail,tw_warning,tw_days,iv_label,pcr_label,iv_warning,vix_status,vix_signal,industry
2026-06-30,NXPI,281.03,6,9,0,3,⚪ 관망,상승추세,267.51,-4.81,308.08,9.63,2.0,구름대 위 / RSI 상향돌파 / Stoch GC(K=26) / BB하단(0.14) / OBV상승(1.41x) / ADX강세(26.6),없음,C,구름대 위 / RSI 상향돌파 / Stoch GC(K=26) / BB하단(0.14) / OBV상승(1.41x) / ADX강세(26.6),⚠ 주의,2.19,True,⭐,26.6,1,현금<총부채,11,🔥 최우선,시총:중형 $71.0B ⭐ / PEG:0.71 ⭐⭐⭐ (성장대비 저평가) / PSR:5.62 ⭐⭐ (섹터 저평가) / PER:26.8 ⭐ (섹터 적정) / ForwardPER:15.9 ⭐⭐ (섹터 저평가) / PER개선:Trailing 26.8 → Forward 15.9 ⭐ (이익개선) / EPS성장:-19.5% / OPM:24.7% (▼2.8%p) / 목표주가:$308 (▲9.6%) / 내부자:순매수 ⭐ / IV:⚠ IV 56.7% (고변동성) / PCR:PCR 1.28 (비관적),,80,⚠ IV 56.7% (고변동성),PCR 1.28 (비관적),True,🟢 정상 구간,정상 시장 환경,Semiconductors
2026-06-30,EIX,74.45,5,9,1,3,🟢 강세,혼조,71.82,-3.53,79.72,7.08,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+6.1) / OBV상승(1.28x) / ADX강세(30.1),Stoch DC(K=70),A,구름대 위 / MA 정배열 / RSI상승기울기(+6.1) / OBV상승(1.28x) / ADX강세(30.1),🔴 위험,-0.13,True,⭐,30.1,4,현금<총부채 / 단기부채>현금 / 무형자산69% / 우선주존재,13,🔥 최우선,시총:중형 $28.6B ⭐ / PEG:3.57 (고평가) / PSR:1.46 ⭐⭐ (섹터 저평가) / PER:8.1 ⭐⭐ (섹터 저평가) / ForwardPER:11.4 ⭐⭐ (섹터 저평가) / EPS성장:+204.1% ⭐⭐⭐ / OPM:27.1% (▲10.5%p) ⭐⭐ / 목표주가:$75 (▲0.9%) / 내부자:순매수 ⭐ / IV:IV 23.6% (저변동성) / PCR:PCR 2.75 (비관적),,80,IV 23.6% (저변동성),PCR 2.75 (비관적),False,🟢 정상 구간,정상 시장 환경,Utilities - Regulated Electric
2026-06-30,FFIV,415.96,6,9,1,3,⚪ 관망,상승추세,388.62,-6.57,470.64,13.15,2.0,구름대 위 / MA 정배열 / 거래량급증(1.6x) / RSI상승기울기(+14.4) / OBV상승(1.06x) / ADX강세(31.9),BB상단(1.05),C,구름대 위 / MA 정배열 / 거래량급증(1.6x) / RSI상승기울기(+14.4) / OBV상승(1.06x) / ADX강세(31.9),⚠ 주의,0.48,True,⭐,31.9,1,매출채권↑>매출↑,11,🔥 최우선,시총:중형 $23.5B ⭐ / PEG:1.70 ⭐ (적정) / PSR:7.28 ⭐⭐ (섹터 저평가) / PER:34.1 ⭐ (섹터 적정) / ForwardPER:23.5 ⭐⭐ (섹터 저평가) / PER개선:Trailing 34.1 → Forward 23.5 ⭐ (이익개선) / EPS성장:+22.2% ⭐ / OPM:25.6% (▲1.9%p) ⭐ / 목표주가:$409 (▲-1.7%) / 내부자:순매수 ⭐ / IV:IV 40.6% (보통) / PCR:PCR 4.86 (비관적),,80,IV 40.6% (보통),PCR 4.86 (비관적),False,🟢 정상 구간,정상 시장 환경,Software - Infrastructure
2026-06-30,LH,280.0,5,9,1,3,🟢 강세,완전상승,266.26,-4.91,307.47,9.81,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+3.3) / OBV상승(1.14x) / ADX강세(35.5),BB상단(1.06),C,구름대 위 / MA 정배열 / RSI상승기울기(+3.3) / OBV상승(1.14x) / ADX강세(35.5),⚠ 주의,0.19,True,⭐,35.5,1,현금<총부채,11,🔥 최우선,시총:중형 $23.0B ⭐ / PEG:1.15 ⭐ (적정) / PSR:1.62 ⭐⭐ (섹터 저평가) / PER:24.8 ⭐ (섹터 적정) / ForwardPER:14.4 ⭐⭐ (섹터 저평가) / PER개선:Trailing 24.8 → Forward 14.4 ⭐ (이익개선) / EPS성장:+17.5% ⭐ / OPM:10.9% (▼2.1%p) / 목표주가:$310 (▲10.8%) ⭐ / 내부자:순매수 ⭐ / IV:IV 25.8% (저변동성) / PCR:PCR 0.41 (낙관적/과열주의),,80,IV 25.8% (저변동성),PCR 0.41 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Diagnostics & Research
2026-06-30,COHR,394.47,5,8,0,3,⚪ 관망,상승추세,333.8,-15.38,515.8,30.76,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+7.0) / OBV상승(1.06x),없음,C,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+7.0) / OBV상승(1.06x),⚠ 주의,3.39,True,,18.5,2,현금<총부채 / 우선주존재,9,🔥 최우선,시총:중형 $77.2B ⭐ / PEG:0.92 ⭐⭐⭐ (성장대비 저평가) / PSR:11.69 (섹터 고평가) / PER:187.0 (섹터 고평가) / ForwardPER:48.2 (섹터 고평가) / PER개선:Trailing 187.0 → Forward 48.2 ⭐ (이익개선) / EPS성장:+131.6% ⭐⭐⭐ / OPM:9.2% (▲6.6%p) ⭐ (개선중) / 목표주가:$384 (▲-2.5%) / 내부자:순매수 ⭐ / IV:🚨 IV 88.7% (극고변동성) / PCR:PCR 1.18 (비관적),,80,🚨 IV 88.7% (극고변동성),PCR 1.18 (비관적),True,🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
2026-06-30,UNP,272.0,5,8,0,3,🟢 강세,완전상승,260.13,-4.36,295.74,8.73,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+5.1) / OBV상승(1.07x) / ADX강세(26.1),없음,A,구름대 위 / MA 정배열 / RSI상승기울기(+5.1) / OBV상승(1.07x) / ADX강세(26.1),⚠ 주의,-0.04,True,,26.1,2,현금<총부채 / 단기부채>현금,5,⭐ 유망,시총:대형 $161.5B / PEG:3.28 (고평가) / PSR:6.54 (섹터 고평가) / PER:22.4 ⭐ (섹터 적정) / ForwardPER:19.8 ⭐ (섹터 적정) / PER개선:Trailing 22.4 → Forward 19.8 ⭐ (이익개선) / EPS성장:5.8% / OPM:40.2% (▲0.1%p) ⭐ / 목표주가:$293 (▲7.7%) / 내부자:순매수 ⭐ / IV:IV 27.9% (저변동성) / PCR:PCR 0.34 (낙관적/과열주의),,80,IV 27.9% (저변동성),PCR 0.34 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Railroads
2026-06-30,STX,965.0,5,8,0,3,⚪ 관망,상승추세,797.31,-17.38,1300.38,34.75,2.0,구름대 위 / MA 정배열 / Stoch GC(K=34) / RSI상승기울기(+5.1) / ADX강세(27.4),없음,C,구름대 위 / MA 정배열 / Stoch GC(K=34) / RSI상승기울기(+5.1) / ADX강세(27.4),🔴 위험,2.67,True,,27.4,4,현금<총부채 / 매출채권↑>매출↑ / 재고↑이익↓ / 자본잠식,9,🔥 최우선,시총:대형 $218.3B / PEG:0.62 ⭐⭐⭐ (성장대비 저평가) / PSR:19.83 (섹터 고평가) / PER:91.4 (섹터 고평가) / ForwardPER:35.5 (섹터 고평가) / PER개선:Trailing 91.4 → Forward 35.5 ⭐ (이익개선) / EPS성장:+338.5% ⭐⭐⭐ / OPM:21.1% (▲14.6%p) ⭐⭐ / 목표주가:$942 (▲-2.4%) / 내부자:순매수 ⭐ / IV:🚨 IV 83.1% (극고변동성) / PCR:PCR 1.03 (비관적),,80,🚨 IV 83.1% (극고변동성),PCR 1.03 (비관적),True,🟢 정상 구간,정상 시장 환경,Computer Hardware
