ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
TSLL,15.65,12.26,-21.66,-1484.82,5369.88,0,0,-3,미분류,13.49,9.8,10.03,-20.07,🔴 손절 고려,,0.0,없음,데이터없음,0,없음,N/A,N/A,,,🚨 IV 82.0% (극고변동성),PCR 0.47 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,361.92,-1.06,-46.68,4343.04,0,0,3,🔴 약세,340.27,405.22,-5.98,11.96,🟠 신호 소멸 (모니터링),,-9.9,없음,⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 3.5% (저변동성),PCR 0.44 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
CDNS,332.28,374.06,12.57,250.68,2244.36,0,1,3,🟡 중립,356.97,408.25,-4.57,9.14,🟠 분할익절 고려 (추세 점검),,55.0,구름대 위,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 52.1% (고변동성),PCR 1.52 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,394.06,-4.76,-78.76,1576.24,0,0,1,🟡 중립,393.34,395.49,-0.18,0.36,🟠 손절가 근접 (모니터링),,0.0,없음,⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 4.2% (저변동성),PCR 1.28 (비관적),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1315.51,-16.1,-252.49,1315.51,0,3,1,🟡 중립,1345.23,1256.06,2.26,-4.52,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.23) / ADX강세(32.5),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 77.0% (고변동성),PCR 0.8 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
NVDA,186.78,204.12,9.28,86.7,1020.6,0,5,3,🟡 중립,199.4,213.55,-2.31,4.62,🟠 분할익절 고려 (추세 점검),,64.8,RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+5.8) / OBV상승(1.01x) / ADX강세(27.6),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 4.9% (저변동성),PCR 0.43 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,317.05,-19.41,-229.11,951.15,0,2,1,🟡 중립,312.7,325.74,-1.37,2.74,🟠 손절가 근접 (모니터링),,0.0,BB하단(0.03) / ADX강세(28.8),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 98.7% (극고변동성),PCR 0.51 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NASA,42.36,26.61,-37.18,-488.25,824.91,0,2,0,미분류,36.49,6.85,37.13,-74.26,🔴 손절 고려,,0.0,BB하단(0.15) / ADX강세(29.2),데이터없음,0,없음,N/A,N/A,,,⚠ IV 53.9% (고변동성),PCR 0.64 (중립),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,83.35,28.09,127.96,583.45,0,2,1,🟢 강세,103.05,43.95,23.64,-47.27,🔴 손절 고려,,0.0,BB하단(0.12) / ADX강세(31.8),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 85.8% (극고변동성),PCR 0.64 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
