ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,40.79,1.17,61.57,5343.49,0,3,0,미분류,55.9,10.58,37.04,-74.06,🔴 손절 고려,,0.0,BB하단(0.20) / RSI상승기울기(+4.7) / ADX강세(47.8),데이터없음,0,없음,N/A,N/A,,,🚨 IV 176.6% (극고변동성),PCR 0.45 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,346.13,-5.38,-236.16,4153.56,0,2,3,🔴 약세,338.5,361.39,-2.2,4.41,🟠 손절가 근접 (모니터링),,0.0,RSI 상향돌파 / BB하단(0.05),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 29.9% (저변동성),PCR 0.47 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,11.82,-27.79,-1151.15,2990.46,0,3,-3,미분류,13.59,8.27,14.97,-30.03,🔴 손절 고려,,0.0,BB하단(0.08) / OBV상승(1.01x) / ADX강세(28.0),데이터없음,0,없음,N/A,N/A,,,🚨 IV 86.3% (극고변동성),PCR 0.75 (중립),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,379.06,14.08,280.68,2274.36,0,1,3,🟢 강세,365.16,406.87,-3.67,7.34,🟠 분할익절 고려 (추세 점검),,62.7,구름대 위,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 56.5% (고변동성),PCR 3.21 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1423.76,-9.2,-144.24,1423.76,0,2,3,🟢 강세,1396.34,1478.59,-1.93,3.85,🟠 손절가 근접 (모니터링),,0.0,BB하단(0.02) / ADX강세(26.3),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 77.5% (고변동성),PCR 6.05 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,381.61,-7.77,-128.56,1526.44,0,2,-1,🔴 약세,393.34,358.14,3.07,-6.15,🔴 손절 고려,,0.0,BB하단(0.09) / ADX강세(25.4),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 37.0% (보통),PCR 0.96 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,381.22,-3.1,-36.6,1143.66,0,3,3,🟢 강세,333.8,476.05,-12.44,24.88,🟣 추가매수 고려,,-14.8,구름대 위 / MA 정배열 / OBV상승(1.02x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 110.0% (극고변동성),PCR 0.9 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,200.04,7.1,66.3,1000.2,0,1,3,🟢 강세,199.17,201.78,-0.43,0.87,🟡 1/3 익절 고려,,88.4,BB하단(0.09),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 32.2% (보통),PCR 0.77 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,95.12,46.18,210.35,665.84,0,2,3,🟢 강세,94.41,96.54,-0.75,1.49,🟡 1/3 익절 고려,,95.5,BB하단(0.16) / ADX강세(45.3),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 88.6% (극고변동성),PCR 0.44 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
