ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
TSLL,15.65,12.22,-21.92,-1502.34,5352.36,0,1,-3,미분류,13.49,9.68,10.39,-20.79,🔴 손절 고려,,0.0,RSI상승기울기(+8.2),데이터없음,0,없음,N/A,N/A,,,⚠ IV 77.3% (고변동성),PCR 0.42 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,370.92,1.4,61.32,4451.04,0,1,3,🟡 중립,350.02,412.72,-5.63,11.27,⚪ 보유 유지,,10.9,RSI상승기울기(+15.1),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 6.8% (저변동성),PCR 0.38 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
CDNS,332.28,371.5,11.8,235.32,2229.0,0,3,3,🔴 약세,356.97,400.57,-3.91,7.83,🟠 분할익절 고려 (추세 점검),,57.4,MA 정배열 / BB하단(0.24) / RSI상승기울기(+6.8),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,IV 49.7% (보통),PCR 1.78 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,394.46,-4.66,-77.16,1577.84,0,1,1,🟡 중립,393.34,396.69,-0.28,0.57,🟠 손절가 근접 (모니터링),,0.0,RSI상승기울기(+8.5),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 3.7% (저변동성),PCR 0.64 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1352.66,-13.73,-215.34,1352.66,0,1,1,🔴 약세,1345.23,1367.51,-0.55,1.1,🟠 손절가 근접 (모니터링),,0.0,RSI상승기울기(+11.0),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 75.8% (고변동성),PCR 1.34 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
NVDA,186.78,212.5,13.77,128.6,1062.5,0,3,3,🔴 약세,199.17,239.16,-6.27,12.55,⚪ 보유 유지,,49.1,RSI상승기울기(+17.0) / OBV상승(1.07x) / ADX강세(27.5),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 1.1% (저변동성),PCR 0.68 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,299.38,-23.9,-282.12,898.14,0,3,1,🔴 약세,326.14,245.87,8.94,-17.87,🔴 손절 고려,,0.0,Stoch GC(K=25) / BB하단(0.11) / ADX강세(37.4),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 104.8% (극고변동성),PCR 0.95 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NASA,42.36,24.72,-41.64,-546.84,766.32,0,4,0,미분류,36.29,1.58,46.8,-93.61,🔴 손절 고려,,0.0,Stoch GC(K=14) / BB하단(0.11) / RSI상승기울기(+6.5) / ADX강세(41.2),데이터없음,0,없음,N/A,N/A,,,⚠ IV 50.2% (고변동성),PCR 2.21 (비관적),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,76.2,17.1,77.91,533.4,0,3,1,🟢 강세,103.05,22.5,35.24,-70.47,🔴 손절 고려,,0.0,BB하단(0.15) / RSI상승기울기(+9.6) / ADX강세(36.7),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,⚠ IV 76.3% (고변동성),PCR 0.5 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
