ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,57.86,43.5,2297.74,7579.66,0,3,2,미분류,41.61,90.36,-28.09,56.17,⚪ 보유 유지,,35.1,구름대 위 / BB하단(0.10) / ADX강세(37.1),데이터없음,0,없음,N/A,N/A,,,🚨 IV 216.4% (극고변동성),PCR 0.69 (중립),🟡 경계 구간,신규 진입 주의 (변동성 확대),
GOOGL,365.81,368.53,0.74,32.64,4422.36,0,4,3,⚪ 관망,356.29,393.01,-3.32,6.64,🟣 추가매수 고려,,10.0,구름대 위 / BB하단(0.15) / RSI상승기울기(+16.2) / ADX강세(30.9),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 16.4% (저변동성),PCR 0.5 (중립),🟡 경계 구간,신규 진입 주의 (변동성 확대),Internet Content & Information
TSLL,16.37,12.72,-22.3,-923.45,3218.16,0,1,-3,미분류,12.47,13.22,-1.97,3.93,🟠 손절가 근접 (모니터링),,0.0,BB하단(-0.11),데이터없음,0,없음,N/A,N/A,,,🚨 IV 96.9% (극고변동성),PCR 0.86 (중립),🟡 경계 구간,신규 진입 주의 (변동성 확대),
CDNS,332.28,376.19,13.21,263.46,2257.14,0,3,1,🟢 강세,339.23,450.11,-9.82,19.65,⚪ 보유 유지,,37.3,구름대 위 / MA 정배열 / ADX강세(40.7),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,IV 36.5% (보통),PCR 2.24 (비관적),🟡 경계 구간,신규 진입 주의 (변동성 확대),Software - Application
MPWR,1568.0,1481.05,-5.55,-86.95,1481.05,0,3,3,🟢 강세,1405.83,1631.5,-5.08,10.16,🟣 추가매수 고려,,-136.9,구름대 위 / MA 정배열 / BB하단(0.06),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 71.2% (고변동성),PCR 1.45 (비관적),🟡 경계 구간,신규 진입 주의 (변동성 확대),Semiconductors
TSLA,413.75,391.0,-5.5,-91.0,1564.0,0,2,-1,⚪ 관망,386.65,399.71,-1.11,2.23,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(-0.12),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 9.1% (저변동성),PCR 0.85 (중립),🟡 경계 구간,신규 진입 주의 (변동성 확대),Auto Manufacturers
COHR,393.42,376.99,-4.18,-49.29,1130.97,0,2,3,🟢 강세,313.45,504.06,-16.85,33.71,⚪ 보유 유지,,-14.8,구름대 위 / MA 정배열,⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,⚠ IV 74.3% (고변동성),PCR 5.17 (비관적),🟡 경계 구간,신규 진입 주의 (변동성 확대),Scientific & Technical Instruments
NVDA,186.78,205.1,9.81,91.6,1025.5,0,2,3,🟢 강세,203.32,208.66,-0.87,1.74,🟡 1/3 익절 고려,,83.7,구름대 위 / BB하단(-0.04),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 6.3% (저변동성),PCR 0.7 (중립),🟡 경계 구간,신규 진입 주의 (변동성 확대),Semiconductors
RKLB,65.07,110.08,69.17,315.07,770.56,0,3,3,🟢 강세,85.96,158.33,-21.91,43.83,⚪ 보유 유지,,48.3,구름대 위 / BB하단(0.14) / ADX강세(37.5),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,IV 26.5% (저변동성),PCR 0.67 (중립),🟡 경계 구간,신규 진입 주의 (변동성 확대),Aerospace & Defense
