ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,31.47,-21.95,-1159.35,4122.57,0,3,0,미분류,58.7,-23.0,86.53,-173.09,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.14) / ADX강세(55.9),데이터없음,0,없음,N/A,N/A,,,🚨 IV 144.4% (극고변동성),PCR 2.56 (비관적),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,337.39,-7.77,-341.04,4048.68,0,2,1,🔴 약세,338.46,335.26,0.32,-0.63,🔴 손절 고려,,0.0,BB하단(-0.02) / ADX강세(28.1),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 19.1% (저변동성),PCR 0.59 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,11.62,-29.02,-1201.75,2939.86,0,4,-3,미분류,13.49,7.88,16.09,-32.19,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.17) / RSI상승기울기(+10.7) / ADX강세(29.6),데이터없음,0,없음,N/A,N/A,,,⚠ IV 60.9% (고변동성),PCR 0.56 (중립),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,377.27,13.54,269.94,2263.62,0,4,3,⚪ 관망,356.97,417.88,-5.38,10.76,🟠 분할익절 고려 (추세 점검),,52.6,구름대 위 / RSI 상향돌파 / Stoch GC(K=34) / RSI상승기울기(+17.2),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,IV 35.9% (보통),PCR 3.44 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,379.71,-8.23,-136.16,1518.84,0,4,-1,🔴 약세,393.34,352.44,3.59,-7.18,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.18) / RSI상승기울기(+10.8) / ADX강세(27.1),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 3.7% (저변동성),PCR 1.09 (비관적),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1313.32,-16.24,-254.68,1313.32,0,3,1,⚪ 관망,1324.07,1291.82,0.82,-1.64,🔴 손절 고려,,0.0,BB하단(-0.10) / RSI상승기울기(+3.5) / ADX강세(28.0),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 71.4% (고변동성),PCR 3.2 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,380.56,-3.27,-38.58,1141.68,0,4,3,⚪ 관망,333.8,474.07,-12.29,24.57,🟣 추가매수 고려,,-15.9,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+4.5),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,⚠ IV 63.2% (고변동성),PCR 0.98 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,192.53,3.08,28.75,962.65,0,2,1,⚪ 관망,199.17,179.25,3.45,-6.9,🔴 손절 고려,,0.0,BB하단(0.03) / ADX강세(26.7),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 1.1% (저변동성),PCR 0.71 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
NASA,42.36,26.58,-37.25,-489.18,823.98,0,3,0,미분류,32.91,13.92,23.81,-47.63,🔴 손절 고려,,0.0,Stoch GC(K=12) / BB하단(0.10) / ADX강세(44.3),데이터없음,0,없음,N/A,N/A,,,🚨 IV 126.6% (극고변동성),PCR 0.91 (중립),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,84.54,29.92,136.29,591.78,0,3,1,🟢 강세,96.77,60.08,14.47,-28.93,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.09) / ADX강세(54.7),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,IV 15.2% (저변동성),PCR 0.47 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
