ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
TSLL,15.65,13.95,-10.86,-744.6,6110.1,0,2,-1,미분류,13.49,14.87,-3.3,6.59,🔵 추세 약화 (모니터링),,0.0,RSI 상향돌파 / OBV상승(1.06x),데이터없음,0,없음,N/A,N/A,,,🚨 IV 87.3% (극고변동성),PCR 0.27 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
RKLX,40.32,36.95,-8.36,-441.47,4840.45,0,3,0,미분류,66.98,-23.11,81.27,-162.54,🔴 손절 고려,,0.0,RSI 상향돌파 / BB하단(0.24) / ADX강세(32.3),데이터없음,0,없음,N/A,N/A,,,🚨 IV 179.3% (극고변동성),PCR 0.84 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,366.46,0.18,7.8,4397.52,0,0,3,🔴 약세,343.47,412.44,-6.27,12.55,⚪ 보유 유지,,1.4,없음,⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 4.0% (저변동성),PCR 0.33 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
CDNS,332.28,375.77,13.09,260.94,2254.62,0,2,3,⚪ 관망,356.97,413.38,-5.0,10.01,🟠 분할익절 고려 (추세 점검),,53.6,구름대 위 / RSI 상향돌파,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 52.0% (고변동성),PCR 0.81 (중립),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,419.77,1.45,24.08,1679.08,0,3,3,🟢 강세,393.34,472.62,-6.3,12.59,🟣 추가매수 고려,,10.2,구름대 위 / RSI 상향돌파 / OBV상승(1.04x),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 2.0% (저변동성),PCR 0.57 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1346.13,-14.15,-221.87,1346.13,0,2,1,⚪ 관망,1345.23,1347.92,-0.07,0.13,🟠 손절가 근접 (모니터링),,0.0,BB하단(0.23) / ADX강세(29.2),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 79.7% (고변동성),PCR 2.37 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
NVDA,186.78,195.55,4.7,43.85,977.75,0,2,1,⚪ 관망,199.17,188.31,1.85,-3.7,🔴 손절 고려,,573.2,BB하단(0.21) / ADX강세(29.9),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 7.6% (저변동성),PCR 0.49 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,335.7,-14.67,-173.16,1007.1,0,1,3,⚪ 관망,324.03,359.04,-3.48,6.95,⚪ 보유 유지,,0.0,BB하단(0.02),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 104.8% (극고변동성),PCR 1.21 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NASA,42.36,28.75,-32.13,-421.91,891.25,0,2,0,미분류,36.49,13.27,26.92,-53.84,🔴 손절 고려,,0.0,RSI 상향돌파 / ADX강세(26.8),데이터없음,0,없음,N/A,N/A,,,🚨 IV 87.7% (극고변동성),PCR 0.4 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,93.09,43.06,196.14,651.63,0,1,3,🟢 강세,103.05,73.17,10.7,-21.4,🔴 손절 고려,,345.9,ADX강세(31.3),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 100.3% (극고변동성),PCR 0.52 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
