ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
TSLL,15.65,12.02,-23.19,-1589.94,5264.76,0,0,-3,미분류,13.49,9.08,12.23,-24.46,🔴 손절 고려,,0.0,없음,데이터없음,0,없음,N/A,N/A,,,⚠ IV 64.8% (고변동성),PCR 0.52 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,354.46,-3.1,-136.2,4253.52,0,0,3,🟡 중립,338.46,386.47,-4.51,9.03,🟠 신호 소멸 (모니터링),,-54.9,없음,⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 32.1% (보통),PCR 0.75 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
CDNS,332.28,364.65,9.74,194.22,2187.9,0,1,3,⚪ 관망,356.95,380.06,-2.11,4.23,🟠 분할익절 고려 (추세 점검),,67.7,BB하단(0.04),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 54.5% (고변동성),PCR 1.77 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,391.06,-5.48,-90.76,1564.24,0,0,-1,🟡 중립,393.34,386.49,0.58,-1.17,🔴 손절 고려,,0.0,없음,⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 35.5% (보통),PCR 0.94 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1305.65,-16.73,-262.35,1305.65,0,0,1,⚪ 관망,1345.23,1226.48,3.03,-6.06,🔴 손절 고려,,0.0,없음,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 63.5% (고변동성),PCR 1.4 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
NVDA,186.78,207.4,11.04,103.1,1037.0,0,2,3,⚪ 관망,199.17,223.86,-3.97,7.94,🟠 분할익절 고려 (추세 점검),,55.6,OBV상승(1.03x) / ADX강세(28.8),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 32.6% (보통),PCR 0.5 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,276.96,-29.6,-349.38,830.88,0,2,1,⚪ 관망,326.14,178.61,17.76,-35.51,🔴 손절 고려,,0.0,BB하단(0.04) / ADX강세(40.7),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,⚠ IV 77.8% (고변동성),PCR 1.91 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NASA,42.36,23.22,-45.18,-593.34,719.82,0,2,0,미분류,36.35,-3.05,56.55,-113.14,🔴 손절 고려,,0.0,BB하단(0.00) / ADX강세(45.2),데이터없음,0,없음,N/A,N/A,,,⚠ IV 52.0% (고변동성),PCR 2.92 (비관적),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,67.35,3.5,15.96,471.45,0,2,-1,🟢 강세,103.05,-4.05,53.01,-106.01,🔴 손절 고려,,0.0,BB하단(0.01) / ADX강세(39.7),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,⚠ IV 79.9% (고변동성),PCR 1.1 (비관적),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
