ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,69.2,71.63,3783.28,9065.2,0,2,2,미분류,38.72,130.16,-44.05,88.09,⚪ 보유 유지,,32.1,구름대 위 / ADX강세(37.2),데이터없음,0,없음,N/A,N/A,,,🚨 IV 229.3% (극고변동성),PCR 0.85 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,372.19,1.74,76.56,4466.28,0,4,3,⚪ 관망,356.29,403.99,-4.27,8.54,🟣 추가매수 고려,,16.7,구름대 위 / Stoch GC(K=31) / BB하단(0.19) / ADX강세(32.1),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 26.5% (저변동성),PCR 0.35 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,14.64,-10.57,-437.69,3703.92,0,1,-1,미분류,12.99,17.93,-11.27,22.47,🔵 추세 약화 (모니터링),,-110.9,구름대 위,데이터없음,0,없음,N/A,N/A,,,⚠ IV 64.8% (고변동성),PCR 0.25 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,411.68,23.9,476.4,2470.08,0,4,1,🟢 강세,380.77,473.5,-7.51,15.02,🟠 분할익절 고려 (추세 점검),,56.2,구름대 위 / MA 정배열 / OBV상승(1.33x) / ADX강세(46.4),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 51.3% (고변동성),PCR 2.52 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1652.6,5.4,84.6,1652.6,0,2,3,🟢 강세,1484.31,1989.18,-10.18,20.37,⚪ 보유 유지,,20.1,구름대 위 / MA 정배열,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 68.8% (고변동성),PCR 1.44 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,418.45,1.14,18.8,1673.8,0,1,3,⚪ 관망,391.66,472.03,-6.4,12.8,⚪ 보유 유지,,8.1,구름대 위,⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 34.1% (보통),PCR 0.52 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,421.9,7.24,85.44,1265.7,0,3,3,🟢 강세,353.12,559.47,-16.3,32.61,⚪ 보유 유지,,17.2,구름대 위 / MA 정배열 / OBV상승(1.00x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 86.6% (극고변동성),PCR 1.2 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,218.66,17.07,159.4,1093.3,0,1,3,🟢 강세,205.47,245.04,-6.03,12.06,🟠 분할익절 고려 (추세 점검),,54.7,구름대 위,⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 27.6% (저변동성),PCR 0.52 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,119.95,84.34,384.16,839.65,0,2,3,🟡 중립,96.18,167.49,-19.82,39.63,🟠 분할익절 고려 (추세 점검),,53.6,구름대 위 / ADX강세(38.0),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,⚠ IV 77.1% (고변동성),PCR 0.33 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
