date,ticker,price,signals,adj_sig,sell_cnt,weekly,sector,trend_type,stop,stop_pct,target,target_pct,rr,buy_detail,sell_detail,strategy,details,fund_judge,beta,near_52w,priority,adx,fund_cnt,fund_risks,growth_score,growth_grade,growth_detail,tw_warning,tw_days,iv_label,pcr_label,iv_warning,vix_status,vix_signal,industry
2026-07-10,AES,14.78,6,10,1,3,🟢 강세,상승추세,14.61,-1.15,15.12,2.3,2.0,구름대 위 / MA 정배열 / MACD 양전환 / RSI상승기울기(+16.0) / OBV상승(-0.22x) / ADX강세(32.6),BB상단(1.16),A,구름대 위 / MA 정배열 / MACD 양전환 / RSI상승기울기(+16.0) / OBV상승(-0.22x) / ADX강세(32.6),⚠ 주의,0.08,True,⭐⭐,32.6,2,현금<총부채 / 단기부채>현금,12,🔥 최우선,시총:중형 $10.5B ⭐ / PEG:0.81 ⭐⭐⭐ (성장대비 저평가) / PSR:0.84 ⭐⭐ (섹터 저평가) / PER:7.7 ⭐⭐ (섹터 저평가) / ForwardPER:6.2 ⭐⭐ (섹터 저평가) / PER개선:Trailing 7.7 → Forward 6.2 ⭐ (이익개선) / EPS성장:-45.8% / OPM:16.1% (▼0.4%p) / 목표주가:$15 (▲1.5%) / 내부자:순매수 ⭐ / IV:IV 23.4% (저변동성) / PCR:PCR 0.04 (낙관적/과열주의),,70,IV 23.4% (저변동성),PCR 0.04 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Utilities - Diversified
2026-07-10,EXPE,270.83,5,9,0,3,🟢 강세,혼조,249.72,-7.79,313.05,15.59,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+6.2) / OBV상승(1.14x) / ADX강세(34.6),없음,C,구름대 위 / MA 정배열 / RSI상승기울기(+6.2) / OBV상승(1.14x) / ADX강세(34.6),⚠ 주의,0.29,True,⭐,34.6,2,현금<총부채 / 매출채권↑>매출↑,11,🔥 최우선,시총:중형 $32.5B ⭐ / PEG:0.85 ⭐⭐⭐ (성장대비 저평가) / PSR:2.14 ⭐ (섹터 적정) / PER:23.9 ⭐ (섹터 적정) / ForwardPER:11.7 ⭐⭐ (섹터 저평가) / PER개선:Trailing 23.9 → Forward 11.7 ⭐ (이익개선) / EPS성장:4.9% / OPM:14.7% (▲2.5%p) ⭐ / 목표주가:$286 (▲5.7%) / 내부자:순매수 ⭐ / IV:IV 47.2% (보통) / PCR:PCR 1.23 (비관적),,70,IV 47.2% (보통),PCR 1.23 (비관적),False,🟢 정상 구간,정상 시장 환경,Travel Services
2026-07-10,EIX,75.2,5,9,0,3,🟢 강세,상승추세,72.27,-3.9,81.05,7.78,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+3.9) / OBV상승(1.08x) / ADX강세(30.7),없음,A,구름대 위 / MA 정배열 / RSI상승기울기(+3.9) / OBV상승(1.08x) / ADX강세(30.7),🔴 위험,-0.28,True,⭐,30.7,4,현금<총부채 / 단기부채>현금 / 무형자산69% / 우선주존재,13,🔥 최우선,시총:중형 $28.9B ⭐ / PEG:3.53 (고평가) / PSR:1.48 ⭐⭐ (섹터 저평가) / PER:8.2 ⭐⭐ (섹터 저평가) / ForwardPER:11.5 ⭐⭐ (섹터 저평가) / EPS성장:+204.1% ⭐⭐⭐ / OPM:27.1% (▲10.5%p) ⭐⭐ / 목표주가:$75 (▲-0.1%) / 내부자:순매수 ⭐ / IV:IV 29.2% (저변동성) / PCR:PCR 0.05 (낙관적/과열주의),,70,IV 29.2% (저변동성),PCR 0.05 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Utilities - Regulated Electric
2026-07-10,NTAP,168.87,5,9,2,3,🟢 강세,완전상승,155.1,-8.15,196.4,16.3,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+7.5) / OBV상승(1.10x) / ADX강세(31.3),Stoch DC(K=77) / BB상단(0.94),C,구름대 위 / MA 정배열 / RSI상승기울기(+7.5) / OBV상승(1.10x) / ADX강세(31.3),⚠ 주의,1.25,True,⭐,31.3,1,현금<총부채,10,🔥 최우선,시총:중형 $33.1B ⭐ / PEG:1.82 ⭐ (적정) / PSR:4.78 ⭐⭐ (섹터 저평가) / PER:26.6 ⭐ (섹터 적정) / ForwardPER:17.2 ⭐⭐ (섹터 저평가) / PER개선:Trailing 26.6 → Forward 17.2 ⭐ (이익개선) / EPS성장:7.6% / OPM:24.5% (▲2.8%p) ⭐ / 목표주가:$176 (▲4.0%) / 내부자:순매수 ⭐ / IV:IV 47.4% (보통) / PCR:PCR 0.01 (낙관적/과열주의),,70,IV 47.4% (보통),PCR 0.01 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Software - Infrastructure
2026-07-10,PFG,112.23,5,8,0,3,🟡 중립,상승추세,107.53,-4.19,121.63,8.38,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+6.9) / OBV상승(1.67x),없음,D,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+6.9) / OBV상승(1.67x),✅ 양호,0.15,True,,19.0,0,없음,9,🔥 최우선,시총:중형 $24.2B ⭐ / PEG:1.06 ⭐ (적정) / PSR:1.57 ⭐⭐ (섹터 저평가) / PER:16.1 ⭐ (섹터 적정) / ForwardPER:10.9 ⭐⭐ (섹터 저평가) / PER개선:Trailing 16.1 → Forward 10.9 ⭐ (이익개선) / EPS성장:-24.6% / OPM:0.0% (▼0.0%p) / 목표주가:$103 (▲-8.1%) / 내부자:순매수 ⭐ / IV:IV 25.1% (저변동성) / PCR:PCR 12.31 (비관적),,70,IV 25.1% (저변동성),PCR 12.31 (비관적),False,🟢 정상 구간,정상 시장 환경,Asset Management
2026-07-10,XEL,80.06,5,8,0,3,🟢 강세,상승추세,78.43,-2.04,83.32,4.07,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / Stoch GC(K=25) / RSI상승기울기(+7.1),없음,A,구름대 위 / MA 정배열 / RSI 상향돌파 / Stoch GC(K=25) / RSI상승기울기(+7.1),🔴 위험,-0.11,True,,17.2,3,현금<총부채 / 단기부채>현금 / 무형자산83%,7,⭐ 유망,시총:중형 $50.0B ⭐ / PEG:2.17 (고평가) / PSR:3.38 ⭐ (섹터 적정) / PER:23.1 (섹터 고평가) / ForwardPER:17.7 ⭐ (섹터 적정) / PER개선:Trailing 23.1 → Forward 17.7 ⭐ (이익개선) / EPS성장:4.2% / OPM:19.6% (▲1.9%p) ⭐ / 목표주가:$92 (▲15.1%) ⭐ / 내부자:순매수 ⭐ / IV:⚠ IV 60.7% (고변동성) / PCR:PCR 0.77 (중립),,70,⚠ IV 60.7% (고변동성),PCR 0.77 (중립),True,🟢 정상 구간,정상 시장 환경,Utilities - Regulated Electric
2026-07-10,KDP,31.67,5,8,0,3,🟡 중립,상승추세,29.7,-6.22,35.6,12.41,2.0,구름대 위 / RSI 상향돌파 / Stoch GC(K=29) / RSI상승기울기(+12.1) / ADX강세(29.4),없음,C,구름대 위 / RSI 상향돌파 / Stoch GC(K=29) / RSI상승기울기(+12.1) / ADX강세(29.4),🔴 위험,-0.27,True,,29.4,4,현금<총부채 / 재고↑이익↓ / 단기부채>현금 / 무형자산79%,13,🔥 최우선,시총:중형 $43.1B ⭐ / PEG:1.04 ⭐ (적정) / PSR:2.54 ⭐⭐ (섹터 저평가) / PER:23.5 ⭐ (섹터 적정) / ForwardPER:12.5 ⭐⭐ (섹터 저평가) / PER개선:Trailing 23.5 → Forward 12.5 ⭐ (이익개선) / EPS성장:+44.3% ⭐⭐⭐ / OPM:22.0% (▲0.4%p) ⭐ / 목표주가:$34 (▲8.1%) / 내부자:순매수 ⭐ / IV:IV 26.5% (저변동성) / PCR:PCR 0.02 (낙관적/과열주의),,70,IV 26.5% (저변동성),PCR 0.02 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Beverages - Non-Alcoholic
2026-07-10,ELV,416.23,5,8,0,3,🟡 중립,상승추세,393.45,-5.47,461.79,10.95,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+4.8) / OBV상승(0.95x) / ADX강세(34.1),없음,C,구름대 위 / MA 정배열 / RSI상승기울기(+4.8) / OBV상승(0.95x) / ADX강세(34.1),⚠ 주의,-0.29,True,,34.1,1,현금<총부채,8,🔥 최우선,시총:중형 $90.4B ⭐ / PEG:1.52 ⭐ (적정) / PSR:0.45 ⭐⭐ (섹터 저평가) / PER:17.7 ⭐ (섹터 적정) / ForwardPER:14.2 ⭐ (섹터 적정) / PER개선:Trailing 17.7 → Forward 14.2 ⭐ (이익개선) / EPS성장:-5.3% / OPM:4.1% (▼1.1%p) / 목표주가:$431 (▲3.7%) / 내부자:순매수 ⭐ / IV:⚠ IV 56.3% (고변동성) / PCR:PCR 0.2 (낙관적/과열주의),,70,⚠ IV 56.3% (고변동성),PCR 0.2 (낙관적/과열주의),True,🟢 정상 구간,정상 시장 환경,Healthcare Plans
2026-07-10,ITW,268.81,5,8,0,3,🟢 강세,상승추세,257.8,-4.1,290.83,8.19,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+6.6) / OBV상승(0.76x) / ADX강세(37.4),없음,A,구름대 위 / MA 정배열 / RSI상승기울기(+6.6) / OBV상승(0.76x) / ADX강세(37.4),⚠ 주의,0.49,True,,37.4,2,현금<총부채 / 단기부채>현금,5,⭐ 유망,시총:중형 $77.3B ⭐ / PEG:2.62 (고평가) / PSR:4.77 (섹터 고평가) / PER:24.9 ⭐ (섹터 적정) / ForwardPER:22.1 ⭐ (섹터 적정) / PER개선:Trailing 24.9 → Forward 22.1 ⭐ (이익개선) / EPS성장:-12.1% / OPM:26.3% (▼0.5%p) / 목표주가:$279 (▲3.8%) / 내부자:순매수 ⭐ / IV:IV 31.3% (보통) / PCR:PCR 0.71 (중립),,70,IV 31.3% (보통),PCR 0.71 (중립),False,🟢 정상 구간,정상 시장 환경,Specialty Industrial Machinery
2026-07-10,MET,91.65,5,8,1,3,🟡 중립,상승추세,87.7,-4.31,99.56,8.63,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+9.0) / OBV상승(1.07x) / ADX강세(32.4),BB상단(0.91),D,구름대 위 / MA 정배열 / RSI상승기울기(+9.0) / OBV상승(1.07x) / ADX강세(32.4),⚠ 주의,0.09,True,,32.4,1,매출채권↑>매출↑,8,🔥 최우선,시총:중형 $59.0B ⭐ / PEG:0.48 ⭐⭐⭐ (성장대비 저평가) / PSR:0.76 ⭐ (섹터 적정) / PER:17.7 (섹터 고평가) / ForwardPER:8.3 ⭐ (섹터 적정) / PER개선:Trailing 17.7 → Forward 8.3 ⭐ (이익개선) / EPS성장:-23.7% / OPM:7.6% (▼1.9%p) / 목표주가:$94 (▲2.4%) / 내부자:순매수 ⭐ / IV:IV 24.5% (저변동성) / PCR:PCR 0.66 (중립),,70,IV 24.5% (저변동성),PCR 0.66 (중립),False,🟢 정상 구간,정상 시장 환경,Insurance - Life
