ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,52.1,29.22,1543.18,6825.1,0,3,2,미분류,47.76,60.78,-8.33,16.66,🟠 분할익절 고려 (추세 점검),,57.6,구름대 위 / BB하단(0.09) / ADX강세(40.5),데이터없음,0,없음,N/A,N/A,,,🚨 IV 239.1% (극고변동성),PCR 0.41 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,356.38,-2.58,-113.16,4276.56,0,3,3,🔴 약세,353.45,362.23,-0.82,1.64,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(0.07) / ADX강세(26.1),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 5.7% (저변동성),PCR 0.52 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,12.04,-26.45,-1095.49,3046.12,0,2,-3,미분류,12.25,11.62,1.74,-3.49,🔴 손절 고려,,0.0,BB하단(-0.05) / ADX강세(29.0),데이터없음,0,없음,N/A,N/A,,,🚨 IV 114.8% (극고변동성),PCR 0.71 (중립),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,385.13,15.91,317.1,2310.78,0,3,1,🟢 강세,345.53,464.32,-10.28,20.56,⚪ 보유 유지,,40.0,구름대 위 / MA 정배열 / ADX강세(31.4),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 65.2% (고변동성),PCR 1.42 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1473.04,-6.06,-94.96,1473.04,0,2,3,🟢 강세,1397.98,1623.17,-5.1,10.19,⚪ 보유 유지,,-172.1,구름대 위 / BB하단(0.11),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,🚨 IV 84.7% (극고변동성),PCR 1.01 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,381.59,-7.77,-128.64,1526.36,0,3,-1,🔴 약세,378.25,388.27,-0.88,1.75,🟠 손절가 근접 (모니터링),,0.0,구름대 위 / BB하단(-0.06) / ADX강세(29.1),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 5.0% (저변동성),PCR 1.14 (비관적),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,354.77,-9.82,-115.95,1064.31,0,3,3,🟢 강세,333.8,396.7,-5.91,11.82,🟣 추가매수 고려,,-1178.4,구름대 위 / MA 정배열 / BB하단(0.20),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 108.8% (극고변동성),PCR 1.03 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,200.42,7.3,68.2,1002.1,0,2,3,🟢 강세,198.34,204.57,-1.04,2.07,🟠 분할익절 고려 (추세 점검),,76.7,구름대 위 / BB하단(-0.02),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 9.4% (저변동성),PCR 0.92 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,105.05,61.44,279.86,735.35,0,3,3,⚪ 관망,100.69,113.76,-4.15,8.29,🟡 1/3 익절 고려,,82.1,구름대 위 / BB하단(0.07) / ADX강세(40.3),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 123.1% (극고변동성),PCR 0.65 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
