ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,54.7,35.66,1883.78,7165.7,0,4,2,미분류,45.24,73.61,-17.29,34.57,⚠ 세 마녀의 날 4일 전,,43.2,구름대 위 / Stoch GC(K=35) / BB하단(0.22) / ADX강세(42.9),데이터없음,0,없음,N/A,N/A,,⚠ 세 마녀의 날 4일 전,🚨 IV 218.7% (극고변동성),PCR 0.86 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,369.35,0.97,42.48,4432.2,0,2,3,⚪ 관망,346.34,415.36,-6.23,12.46,⚠ 세 마녀의 날 4일 전,,7.1,구름대 위 / RSI상승기울기(+7.1),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,⚠ 세 마녀의 날 4일 전,IV 2.8% (저변동성),PCR 0.32 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,13.89,-15.15,-627.44,3514.17,0,3,-1,미분류,12.63,16.41,-9.07,18.14,⚠ 세 마녀의 날 4일 전,,-6200.0,구름대 위 / OBV상승(1.04x) / ADX강세(27.6),데이터없음,0,없음,N/A,N/A,,⚠ 세 마녀의 날 4일 전,🚨 IV 85.5% (극고변동성),PCR 0.35 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,394.5,18.73,373.32,2367.0,0,2,1,🟢 강세,359.62,464.26,-8.84,17.68,⚠ 세 마녀의 날 4일 전,,47.1,구름대 위 / MA 정배열,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 4일 전,⚠ IV 50.3% (고변동성),PCR 1.96 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1652.29,5.38,84.29,1652.29,0,1,3,🟢 강세,1449.57,2057.74,-12.27,24.54,⚠ 세 마녀의 날 4일 전,,17.2,구름대 위,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 4일 전,⚠ IV 76.4% (고변동성),PCR 1.23 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,411.15,-0.63,-10.4,1644.6,0,3,1,🟢 강세,378.25,476.95,-8.0,16.0,⚠ 세 마녀의 날 4일 전,,-4.1,구름대 위 / OBV상승(1.01x) / ADX강세(26.6),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,⚠ 세 마녀의 날 4일 전,IV 5.8% (저변동성),PCR 0.73 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,413.84,5.19,61.26,1241.52,0,4,3,🟢 강세,337.98,565.56,-18.33,36.66,⚠ 세 마녀의 날 4일 전,,11.9,구름대 위 / RSI 상향돌파 / RSI상승기울기(+9.0) / OBV상승(1.02x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,⚠ 세 마녀의 날 4일 전,🚨 IV 96.7% (극고변동성),PCR 1.15 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,212.45,13.74,128.35,1062.25,0,2,3,🟢 강세,198.34,240.66,-6.64,13.28,⚠ 세 마녀의 날 4일 전,,47.6,구름대 위 / RSI상승기울기(+9.0),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 4일 전,IV 3.0% (저변동성),PCR 0.53 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,109.25,67.9,309.26,764.75,0,3,3,🟢 강세,99.11,129.53,-9.28,18.56,⚠ 세 마녀의 날 4일 전,,68.5,구름대 위 / BB하단(0.24) / ADX강세(41.6),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,⚠ 세 마녀의 날 4일 전,🚨 IV 107.0% (극고변동성),PCR 0.35 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
