date,ticker,price,signals,adj_sig,sell_cnt,weekly,sector,trend_type,stop,stop_pct,target,target_pct,rr,buy_detail,sell_detail,strategy,details,fund_judge,beta,near_52w,priority,adx,fund_cnt,fund_risks,growth_score,growth_grade,growth_detail,tw_warning,tw_days,iv_label,pcr_label,iv_warning,vix_status,vix_signal,industry
2026-06-16,STX,1031.34,6,10,2,3,🟢 강세,완전상승,895.33,-13.19,1303.37,26.38,2.0,구름대 위 / MA 정배열 / MACD 양전환 / RSI상승기울기(+3.3) / OBV상승(1.06x) / ADX강세(37.3),BB상단(1.02) / 거래량급증+음봉(1.6x),C,구름대 위 / MA 정배열 / MACD 양전환 / RSI상승기울기(+3.3) / OBV상승(1.06x) / ADX강세(37.3),🔴 위험,2.51,True,⭐⭐,37.3,4,현금<총부채 / 매출채권↑>매출↑ / 재고↑이익↓ / 자본잠식,9,🔥 최우선,시총:대형 $233.3B / PEG:0.64 ⭐⭐⭐ (성장대비 저평가) / PSR:21.19 (섹터 고평가) / PER:98.3 (섹터 고평가) / ForwardPER:38.1 (섹터 고평가) / PER개선:Trailing 98.3 → Forward 38.1 ⭐ (이익개선) / EPS성장:+338.5% ⭐⭐⭐ / OPM:21.1% (▲14.6%p) ⭐⭐ / 목표주가:$886 (▲-14.1%) / 내부자:순매수 ⭐ / IV:🚨 IV 81.9% (극고변동성) / PCR:PCR 1.05 (비관적),⚠ 세 마녀의 날 3일 전,3,🚨 IV 81.9% (극고변동성),PCR 1.05 (비관적),True,🟢 정상 구간,정상 시장 환경,Computer Hardware
2026-06-16,EMR,148.81,5,9,1,3,🟢 강세,완전상승,139.42,-6.31,167.59,12.62,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+3.6) / OBV상승(1.09x),BB상단(1.01),A,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+3.6) / OBV상승(1.09x),🔴 위험,1.78,True,⭐,23.8,3,현금<총부채 / 단기부채>현금 / 무형자산66%,9,🔥 최우선,시총:중형 $83.3B ⭐ / PEG:1.99 ⭐ (적정) / PSR:4.55 (섹터 고평가) / PER:34.4 (섹터 고평가) / ForwardPER:20.8 ⭐ (섹터 적정) / PER개선:Trailing 34.4 → Forward 20.8 ⭐ (이익개선) / EPS성장:+16.5% ⭐ / OPM:19.6% (▲4.4%p) ⭐⭐ / 목표주가:$164 (▲10.3%) ⭐ / 내부자:순매수 ⭐ / IV:IV 43.5% (보통) / PCR:PCR 0.21 (낙관적/과열주의),⚠ 세 마녀의 날 3일 전,3,IV 43.5% (보통),PCR 0.21 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Specialty Industrial Machinery
2026-06-16,FTV,61.43,5,9,0,3,🟢 강세,완전상승,58.35,-5.01,67.6,10.04,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(0.85x),없음,C,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / OBV상승(0.85x),⚠ 주의,0.57,True,⭐,16.8,2,현금<총부채 / 단기부채>현금,9,🔥 최우선,시총:중형 $18.7B ⭐ / PEG:0.98 ⭐⭐⭐ (성장대비 저평가) / PSR:4.42 ⭐ (섹터 적정) / PER:35.9 (섹터 고평가) / ForwardPER:19.1 ⭐⭐ (섹터 저평가) / PER개선:Trailing 35.9 → Forward 19.1 ⭐ (이익개선) / EPS성장:-30.5% / OPM:17.3% (▼0.2%p) / 목표주가:$64 (▲3.6%) / 내부자:순매수 ⭐ / IV:⚠ IV 69.7% (고변동성) / PCR:PCR 0.06 (낙관적/과열주의),⚠ 세 마녀의 날 3일 전,3,⚠ IV 69.7% (고변동성),PCR 0.06 (낙관적/과열주의),True,🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
2026-06-16,WDC,681.08,5,9,2,3,🟢 강세,완전상승,580.47,-14.77,882.29,29.54,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+6.9) / OBV상승(1.07x) / ADX강세(35.6),BB상단(1.14) / 거래량급증+음봉(2.2x),C,구름대 위 / MA 정배열 / RSI상승기울기(+6.9) / OBV상승(1.07x) / ADX강세(35.6),🔴 위험,3.07,True,⭐,35.6,3,현금<총부채 / 단기부채>현금 / 우선주존재,9,🔥 최우선,시총:대형 $234.8B / PEG:0.50 ⭐⭐⭐ (성장대비 저평가) / PSR:19.93 (섹터 고평가) / PER:40.7 (섹터 고평가) / ForwardPER:37.7 (섹터 고평가) / PER개선:Trailing 40.7 → Forward 37.7 ⭐ (이익개선) / EPS성장:+333.2% ⭐⭐⭐ / OPM:22.4% (▲20.8%p) ⭐⭐ / 목표주가:$547 (▲-19.7%) / 내부자:순매수 ⭐ / IV:🚨 IV 89.6% (극고변동성) / PCR:PCR 0.8 (중립),⚠ 세 마녀의 날 3일 전,3,🚨 IV 89.6% (극고변동성),PCR 0.8 (중립),True,🟢 정상 구간,정상 시장 환경,Computer Hardware
2026-06-16,DVA,208.98,5,9,1,3,🟢 강세,상승추세,198.13,-5.19,230.68,10.38,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+5.4) / OBV상승(1.06x) / ADX강세(41.6),BB상단(0.98),C,구름대 위 / MA 정배열 / RSI상승기울기(+5.4) / OBV상승(1.06x) / ADX강세(41.6),🔴 위험,0.44,True,⭐,41.6,4,현금<총부채 / 매출채권↑>매출↑ / 재고↑이익↓ / 자본잠식,10,🔥 최우선,시총:중형 $13.4B ⭐ / PEG:0.65 ⭐⭐⭐ (성장대비 저평가) / PSR:0.97 ⭐ (섹터 적정) / PER:20.1 ⭐ (섹터 적정) / ForwardPER:12.2 ⭐⭐ (섹터 저평가) / PER개선:Trailing 20.1 → Forward 12.2 ⭐ (이익개선) / EPS성장:-20.2% / OPM:14.7% (▼0.5%p) / 목표주가:$194 (▲-7.3%) / 내부자:순매수 ⭐ / IV:IV 25.3% (저변동성) / PCR:PCR 0.88 (중립),⚠ 세 마녀의 날 3일 전,3,IV 25.3% (저변동성),PCR 0.88 (중립),False,🟢 정상 구간,정상 시장 환경,Medical Care Facilities
2026-06-16,HWM,277.42,5,9,1,3,🟢 강세,완전상승,258.99,-6.64,314.27,13.28,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+8.0) / OBV상승(1.02x) / ADX강세(31.5),BB상단(1.15),A,구름대 위 / MA 정배열 / RSI상승기울기(+8.0) / OBV상승(1.02x) / ADX강세(31.5),⚠ 주의,1.38,True,⭐,31.5,1,현금<총부채,10,🔥 최우선,시총:대형 $111.0B / PEG:0.80 ⭐⭐⭐ (성장대비 저평가) / PSR:12.87 (섹터 고평가) / PER:64.5 (섹터 고평가) / ForwardPER:46.1 (섹터 고평가) / PER개선:Trailing 64.5 → Forward 46.1 ⭐ (이익개선) / EPS성장:+30.6% ⭐⭐⭐ / OPM:25.6% (▲3.6%p) ⭐⭐ / 목표주가:$303 (▲9.3%) / 내부자:순매수 ⭐ / IV:⚠ IV 54.2% (고변동성) / PCR:PCR 2.0 (비관적),⚠ 세 마녀의 날 3일 전,3,⚠ IV 54.2% (고변동성),PCR 2.0 (비관적),True,🟢 정상 구간,정상 시장 환경,Aerospace & Defense
2026-06-16,GS,1090.67,7,9,0,3,🟡 중립,상승추세,1021.42,-6.35,1229.18,12.7,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+3.4) / OBV상승(1.06x) / ADX강세(31.9),없음,D,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+3.4) / OBV상승(1.06x) / ADX강세(31.9),⚠ 주의,1.68,True,⭐,31.9,2,현금<총부채 / 매출채권↑>매출↑,5,⭐ 유망,시총:대형 $321.8B / PEG:1.64 ⭐ (적정) / PSR:5.23 (섹터 고평가) / PER:19.9 (섹터 고평가) / ForwardPER:16.6 ⭐ (섹터 적정) / PER개선:Trailing 19.9 → Forward 16.6 ⭐ (이익개선) / EPS성장:+20.3% ⭐ / OPM:0.0% (▼0.0%p) / 목표주가:$951 (▲-12.8%) / 내부자:순매수 ⭐ / IV:IV 36.3% (보통) / PCR:PCR 0.41 (낙관적/과열주의),⚠ 세 마녀의 날 3일 전,3,IV 36.3% (보통),PCR 0.41 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Capital Markets
2026-06-16,LUV,47.43,5,8,1,3,🟢 강세,완전상승,43.57,-8.14,55.16,16.3,2.0,구름대 위 / MA 정배열 / 거래량급증(1.5x) / OBV상승(1.04x) / ADX강세(37.7),BB상단(1.06),A,구름대 위 / MA 정배열 / 거래량급증(1.5x) / OBV상승(1.04x) / ADX강세(37.7),⚠ 주의,1.89,True,,37.7,1,현금<총부채,7,⭐ 유망,시총:중형 $23.2B ⭐ / PEG:0.31 ⭐⭐⭐ (성장대비 저평가) / PSR:0.80 (섹터 고평가) / PER:31.6 (섹터 고평가) / ForwardPER:10.5 ⭐ (섹터 적정) / PER개선:Trailing 31.6 → Forward 10.5 ⭐ (이익개선) / EPS성장:-5.2% / OPM:1.5% (▼0.4%p) / 목표주가:$46 (▲-3.8%) / 내부자:순매수 ⭐ / IV:⚠ IV 55.7% (고변동성) / PCR:PCR 0.32 (낙관적/과열주의),⚠ 세 마녀의 날 3일 전,3,⚠ IV 55.7% (고변동성),PCR 0.32 (낙관적/과열주의),True,🟢 정상 구간,정상 시장 환경,Airlines
2026-06-16,D,68.5,5,8,1,3,🟡 중립,상승추세,65.89,-3.81,73.72,7.62,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+4.5) / OBV상승(1.11x) / ADX강세(28.2),BB상단(0.98),A,구름대 위 / MA 정배열 / RSI상승기울기(+4.5) / OBV상승(1.11x) / ADX강세(28.2),🔴 위험,-0.07,True,,28.2,4,현금<총부채 / 매출채권↑>매출↑ / 단기부채>현금 / 우선주존재,11,🔥 최우선,시총:중형 $60.2B ⭐ / PEG:2.96 (고평가) / PSR:3.45 ⭐ (섹터 적정) / PER:20.2 ⭐ (섹터 적정) / ForwardPER:18.0 ⭐ (섹터 적정) / PER개선:Trailing 20.2 → Forward 18.0 ⭐ (이익개선) / EPS성장:+47.4% ⭐⭐⭐ / OPM:29.9% (▲3.3%p) ⭐⭐ / 목표주가:$69 (▲1.1%) / 내부자:순매수 ⭐ / IV:IV 35.0% (보통) / PCR:PCR 0.1 (낙관적/과열주의),⚠ 세 마녀의 날 3일 전,3,IV 35.0% (보통),PCR 0.1 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Utilities - Regulated Electric
2026-06-16,ALL,223.09,5,8,0,3,🟡 중립,상승추세,212.77,-4.63,243.72,9.25,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+11.7) / OBV상승(1.08x) / ADX강세(38.3),없음,D,구름대 위 / MA 정배열 / RSI상승기울기(+11.7) / OBV상승(1.08x) / ADX강세(38.3),⚠ 주의,-0.4,True,,38.3,1,현금<총부채,12,🔥 최우선,시총:중형 $57.4B ⭐ / PEG:2.66 (고평가) / PSR:0.84 ⭐ (섹터 적정) / PER:4.9 ⭐⭐ (섹터 저평가) / ForwardPER:8.5 ⭐⭐ (섹터 저평가) / EPS성장:+120.3% ⭐⭐⭐ / OPM:20.2% (▲10.5%p) ⭐⭐ / 목표주가:$241 (▲7.8%) / 내부자:순매수 ⭐ / IV:IV 38.9% (보통) / PCR:PCR 2.15 (비관적),⚠ 세 마녀의 날 3일 전,3,IV 38.9% (보통),PCR 2.15 (비관적),False,🟢 정상 구간,정상 시장 환경,Insurance - Property & Casualty
