ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
TSLL,15.65,12.27,-21.6,-1480.44,5374.26,0,0,-3,미분류,13.49,9.83,9.94,-19.89,🔴 손절 고려,,0.0,없음,데이터없음,0,없음,N/A,N/A,,,🚨 IV 84.0% (극고변동성),PCR 0.69 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,352.51,-3.64,-159.6,4230.12,0,2,3,🔴 약세,338.46,380.62,-3.99,7.97,⚪ 보유 유지,,-89.8,RSI 상향돌파 / RSI상승기울기(+5.7),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 6.2% (저변동성),PCR 0.54 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
CDNS,332.28,377.92,13.74,273.84,2267.52,0,1,3,🟡 중립,356.97,419.83,-5.54,11.09,🟠 분할익절 고려 (추세 점검),,52.1,구름대 위,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 51.0% (고변동성),PCR 1.67 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,394.76,-4.59,-75.96,1579.04,0,1,1,🔴 약세,393.34,397.59,-0.36,0.72,🟠 손절가 근접 (모니터링),,0.0,OBV상승(1.02x),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 1.8% (저변동성),PCR 1.07 (비관적),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1291.38,-17.64,-276.62,1291.38,0,2,1,🟡 중립,1345.23,1183.67,4.17,-8.34,🔴 손절 고려,,0.0,BB하단(0.23) / ADX강세(27.4),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 79.1% (고변동성),PCR 2.05 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
NVDA,186.78,203.53,8.97,83.75,1017.65,0,0,3,🟡 중립,199.17,212.25,-2.14,4.28,🟠 분할익절 고려 (추세 점검),,65.8,없음,⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 13.5% (저변동성),PCR 0.68 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,307.39,-21.87,-258.09,922.17,0,2,1,🟡 중립,326.14,269.9,6.1,-12.2,🔴 손절 고려,,0.0,BB하단(0.08) / ADX강세(32.5),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 105.9% (극고변동성),PCR 0.5 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NASA,42.36,25.05,-40.86,-536.61,776.55,0,2,0,미분류,36.73,1.68,46.63,-93.29,🔴 손절 고려,,0.0,BB하단(0.07) / ADX강세(35.4),데이터없음,0,없음,N/A,N/A,,,⚠ IV 60.0% (고변동성),PCR 0.74 (중립),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,76.73,17.92,81.62,537.11,0,2,1,🟢 강세,103.05,24.09,34.3,-68.6,🔴 손절 고려,,0.0,BB하단(0.09) / ADX강세(35.6),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 87.1% (극고변동성),PCR 0.69 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
