ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,48.3,19.79,1045.38,6327.3,0,3,2,미분류,45.27,54.35,-6.27,12.53,⚠ 세 마녀의 날 7일 전,,56.9,구름대 위 / BB하단(0.11) / ADX강세(41.8),데이터없음,0,없음,N/A,N/A,,⚠ 세 마녀의 날 7일 전,🚨 IV 203.6% (극고변동성),PCR 0.78 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,359.68,-1.68,-73.56,4316.16,0,4,3,⚪ 관망,344.63,389.78,-4.18,8.37,⚠ 세 마녀의 날 7일 전,,-25.6,구름대 위 / RSI 상향돌파 / BB하단(0.20) / RSI상승기울기(+5.6),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,⚠ 세 마녀의 날 7일 전,IV 3.3% (저변동성),PCR 0.43 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,13.59,-16.98,-703.34,3438.27,0,4,-3,미분류,12.32,16.13,-9.35,18.69,⚠ 세 마녀의 날 7일 전,,0.0,구름대 위 / RSI상승기울기(+5.9) / OBV상승(1.02x) / ADX강세(30.3),데이터없음,0,없음,N/A,N/A,,⚠ 세 마녀의 날 7일 전,IV 42.2% (보통),PCR 0.26 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,384.96,15.85,316.08,2309.76,0,3,1,🟢 강세,348.67,457.53,-9.43,18.85,⚠ 세 마녀의 날 7일 전,,42.1,구름대 위 / MA 정배열 / ADX강세(25.2),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 7일 전,IV 46.3% (보통),PCR 0.64 (중립),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1577.32,0.59,9.32,1577.32,0,2,3,🟢 강세,1397.98,1936.01,-11.37,22.74,⚠ 세 마녀의 날 7일 전,,2.5,구름대 위 / RSI상승기울기(+4.4),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 7일 전,⚠ IV 73.3% (고변동성),PCR 0.8 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,406.43,-1.77,-29.28,1625.72,0,3,3,🟡 중립,378.25,462.79,-6.93,13.87,⚠ 세 마녀의 날 7일 전,,-14.9,구름대 위 / RSI상승기울기(+6.6) / ADX강세(30.1),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,⚠ 세 마녀의 날 7일 전,IV 6.3% (저변동성),PCR 0.7 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,385.03,-2.13,-25.17,1155.09,0,1,3,🟢 강세,333.8,487.48,-13.31,26.61,⚠ 세 마녀의 날 7일 전,,-8.9,구름대 위,⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,⚠ 세 마녀의 날 7일 전,⚠ IV 75.7% (고변동성),PCR 1.26 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,205.19,9.86,92.05,1025.95,0,5,3,🟢 강세,198.34,218.88,-3.34,6.67,⚠ 세 마녀의 날 7일 전,,57.4,구름대 위 / RSI 상향돌파 / BB하단(0.18) / RSI상승기울기(+9.1) / ADX강세(25.8),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 7일 전,IV 2.5% (저변동성),PCR 0.61 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,102.39,57.35,261.24,716.73,0,3,3,🟢 강세,99.11,108.95,-3.2,6.41,⚠ 세 마녀의 날 7일 전,,85.1,구름대 위 / BB하단(0.10) / ADX강세(40.8),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,⚠ 세 마녀의 날 7일 전,IV 34.2% (보통),PCR 0.58 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
