ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,53.11,31.72,1675.49,6957.41,0,2,2,미분류,49.65,60.03,-6.51,13.03,⚠ 세 마녀의 날 2일 전,,64.9,Stoch GC(K=34) / ADX강세(44.2),데이터없음,0,없음,N/A,N/A,,⚠ 세 마녀의 날 2일 전,🚨 IV 189.6% (극고변동성),PCR 0.68 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,363.79,-0.55,-24.24,4365.48,0,1,3,🔴 약세,344.63,402.11,-5.27,10.53,⚠ 세 마녀의 날 2일 전,,-5.6,구름대 위,⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,⚠ 세 마녀의 날 2일 전,IV 4.5% (저변동성),PCR 0.6 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,12.92,-21.08,-872.85,3268.76,0,2,-3,미분류,13.45,11.86,4.1,-8.2,⚠ 세 마녀의 날 2일 전,,0.0,BB하단(0.21) / ADX강세(27.1),데이터없음,0,없음,N/A,N/A,,⚠ 세 마녀의 날 2일 전,⚠ IV 74.2% (고변동성),PCR 0.41 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,389.6,17.25,343.92,2337.6,0,3,1,🟢 강세,356.33,456.14,-8.54,17.08,⚠ 세 마녀의 날 2일 전,,46.3,구름대 위 / MA 정배열 / OBV상승(1.10x),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 2일 전,⚠ IV 59.1% (고변동성),PCR 2.34 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1448.21,-7.64,-119.79,1448.21,0,1,3,🟢 강세,1397.98,1548.68,-3.47,6.94,⚠ 세 마녀의 날 2일 전,,0.0,BB하단(0.02),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 2일 전,⚠ IV 75.3% (고변동성),PCR 0.79 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,396.38,-4.2,-69.48,1585.52,0,2,-1,🟢 강세,391.23,406.67,-1.3,2.6,⚠ 세 마녀의 날 2일 전,,0.0,BB하단(0.22) / ADX강세(25.2),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,⚠ 세 마녀의 날 2일 전,IV 5.3% (저변동성),PCR 1.04 (비관적),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,378.85,-3.7,-43.71,1136.55,0,2,3,🟢 강세,333.8,468.94,-11.89,23.78,⚠ 세 마녀의 날 2일 전,,-19.3,구름대 위 / MA 정배열,⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,⚠ 세 마녀의 날 2일 전,🚨 IV 86.3% (극고변동성),PCR 1.09 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,204.65,9.57,89.35,1023.25,0,2,3,🟢 강세,198.34,217.26,-3.08,6.16,⚠ 세 마녀의 날 2일 전,,58.6,구름대 위 / BB하단(0.21),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,⚠ 세 마녀의 날 2일 전,IV 3.7% (저변동성),PCR 0.73 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,107.98,65.94,300.37,755.86,0,2,3,🟢 강세,99.11,125.72,-8.21,16.43,⚠ 세 마녀의 날 2일 전,,70.8,구름대 위 / ADX강세(42.1),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,⚠ 세 마녀의 날 2일 전,🚨 IV 84.0% (극고변동성),PCR 0.32 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
