ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
TSLL,15.65,12.84,-17.96,-1230.78,5623.92,0,0,-3,미분류,13.49,11.54,5.06,-10.12,🔴 손절 고려,,0.0,없음,데이터없음,0,없음,N/A,N/A,,,🚨 IV 91.0% (극고변동성),PCR 0.71 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,367.03,0.33,14.64,4404.36,0,0,3,🔴 약세,345.06,410.97,-5.99,11.97,⚪ 보유 유지,,2.7,없음,⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 24.9% (저변동성),PCR 0.32 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Internet Content & Information
RKLX,40.32,29.23,-27.5,-1452.79,3829.13,0,2,0,미분류,66.98,-46.27,129.15,-258.3,🔴 손절 고려,,0.0,BB하단(0.09) / ADX강세(32.5),데이터없음,0,없음,N/A,N/A,,,🚨 IV 208.6% (극고변동성),PCR 0.47 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,371.06,11.67,232.68,2226.36,0,2,3,🟡 중립,356.97,399.25,-3.8,7.6,🟠 분할익절 고려 (추세 점검),,57.9,구름대 위 / BB하단(0.17),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 59.9% (고변동성),PCR 1.37 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
TSLA,413.75,402.9,-2.62,-43.4,1611.6,0,0,1,🟢 강세,393.34,422.01,-2.37,4.74,🟠 손절가 근접 (모니터링),,-131.4,없음,⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 37.8% (보통),PCR 1.23 (비관적),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
MPWR,1568.0,1272.81,-18.83,-295.19,1272.81,0,2,1,🟡 중립,1345.23,1127.96,5.69,-11.38,🔴 손절 고려,,0.0,BB하단(0.10) / ADX강세(32.0),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,🚨 IV 80.2% (극고변동성),PCR 1.54 (비관적),🟢 정상 구간,정상 시장 환경,Semiconductors
NVDA,186.78,196.93,5.43,50.75,984.65,0,1,3,🟡 중립,199.4,191.98,1.25,-2.51,🔴 손절 고려,,195.2,ADX강세(31.7),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 27.8% (저변동성),PCR 0.55 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
COHR,393.42,314.13,-20.15,-237.87,942.39,0,2,1,🟡 중립,312.7,316.98,-0.46,0.91,🟠 손절가 근접 (모니터링),,0.0,BB하단(-0.08) / ADX강세(25.8),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,🚨 IV 101.1% (극고변동성),PCR 0.89 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NASA,42.36,26.91,-36.47,-478.95,834.21,0,2,0,미분류,36.49,7.75,35.6,-71.2,🔴 손절 고려,,0.0,BB하단(0.15) / ADX강세(27.7),데이터없음,0,없음,N/A,N/A,,,⚠ IV 66.1% (고변동성),PCR 0.71 (중립),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,83.41,28.19,128.38,583.87,0,2,1,🟢 강세,103.05,44.13,23.55,-47.09,🔴 손절 고려,,0.0,BB하단(0.08) / ADX강세(31.3),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 96.7% (극고변동성),PCR 0.81 (중립),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
