ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
RKLX,40.32,61.67,52.95,2796.85,8078.77,0,3,2,미분류,47.76,89.49,-22.56,45.11,⚪ 보유 유지,,43.4,구름대 위 / BB하단(0.24) / ADX강세(40.5),데이터없음,0,없음,N/A,N/A,,,🚨 IV 244.0% (극고변동성),PCR 0.58 (중립),🟢 정상 구간,정상 시장 환경,
GOOGL,365.81,357.77,-2.2,-96.48,4293.24,0,4,3,⚪ 관망,344.63,384.05,-3.67,7.35,🟣 추가매수 고려,,-44.1,구름대 위 / Stoch GC(K=34) / BB하단(0.13) / ADX강세(27.3),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 32.8% (보통),PCR 0.51 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
TSLL,16.37,13.12,-19.85,-822.25,3319.36,0,4,-3,미분류,12.32,14.72,-6.1,12.2,🔵 추세 약화 (모니터링),,0.0,구름대 위 / Stoch GC(K=26) / BB하단(0.19) / ADX강세(31.2),데이터없음,0,없음,N/A,N/A,,,🚨 IV 112.1% (극고변동성),PCR 0.29 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,383.74,15.49,308.76,2302.44,0,3,1,🟢 강세,346.15,458.92,-9.8,19.59,⚪ 보유 유지,,40.6,구름대 위 / MA 정배열 / ADX강세(28.3),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 52.5% (고변동성),PCR 1.18 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1589.55,1.37,21.55,1589.55,0,2,3,🟢 강세,1397.98,1972.7,-12.05,24.1,⚪ 보유 유지,,5.3,구름대 위 / RSI 상향돌파,⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 77.7% (고변동성),PCR 0.78 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,399.15,-3.53,-58.4,1596.6,0,4,1,⚪ 관망,378.25,440.95,-5.24,10.47,⚪ 보유 유지,,-53.7,구름대 위 / Stoch GC(K=29) / BB하단(0.23) / ADX강세(31.0),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,⚠ IV 57.3% (고변동성),PCR 0.78 (중립),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,363.58,-7.58,-89.52,1090.74,0,1,3,🟢 강세,333.8,423.13,-8.19,16.38,⚪ 보유 유지,,-100.4,구름대 위,⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,⚠ IV 78.8% (고변동성),PCR 1.26 (비관적),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,204.87,9.69,90.45,1024.35,0,4,3,🟢 강세,198.34,217.92,-3.19,6.37,🟠 분할익절 고려 (추세 점검),,58.1,구름대 위 / Stoch GC(K=26) / BB하단(0.16) / ADX강세(25.5),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 34.3% (보통),PCR 0.7 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
RKLB,65.07,114.78,76.39,347.97,803.46,0,3,3,🟢 강세,100.69,142.95,-12.28,24.54,🟠 분할익절 고려 (추세 점검),,63.8,구름대 위 / RSI상승기울기(+4.0) / ADX강세(39.8),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,🚨 IV 145.5% (극고변동성),PCR 0.34 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
